ID,Title,Time,Director,Year,Cast
4813,Pom Poko [Blu-ray] , 119 minutes ,Isao Takahata,2015,Jonathan Taylor Thomas
4814,The Bride of Frankenstein    ,"1 hour, 16 minutes",James Whale,1935,"Boris Karloff, Colin Clive"
4815,Escape From Alcatraz    ,"1 hour, 52 minutes",Don Siegel,1979,"Clint Eastwood, Patrick McGoohan"
4816,The Bodyguard (Special Edition) , 130 minutes ,Mick Jackson,2006,Kevin Costner
4817,The Bridges of Madison County    ,"2 hours, 15 minutes",Clint Eastwood,1995,"Clint Eastwood, Meryl Streep"
4818,Twin Peaks: Fire Walk With Me    ,"2 hours, 15 minutes",David Lynch,1992,"Sheryl Lee, Ray Wise"
4819,Beautiful Creatures (DVD) , 124 minutes ,Richard LaGravenese,2013,Viola Davis
4820,High Society , 107 minutes ,Charles Walters,2008,Bing Crosby
4821,Patch Adams / What Dreams May Come (Double Feature) , 230 minutes ,Vincent Ward,2007,Robin Williams
4822,300: Rise of an Empire (Blu-ray+DVD+UltraViolet Combo Pack) , 102 minutes ,Noam Murro,2014,Eva Green
4823,Glengarry Glen Ross , 100 minutes ,James Foley,2002,Al Pacino
4824,"Untouchables, The (1987) ", 120 minutes ,Various,2004,Various
4825,The Island [Blu-ray] , 136 minutes ,Michael Bay,2011,Ewan McGregor
4826,2081 | based on Kurt Vonnegut's    ,27 minutes,Chandler Tuttle,2010,"James Cosmo, Julie Hagerty"
4827,Charade , 114 minutes ,Stanley Donen,2012,Audrey Hepburn
4828,Score    ,"1 hour, 25 minutes",Radley Metzger,2010,"Claire Wilbur,Gerald Grant"
4829,What Dreams May Come , 114 minutes ,Vincent Ward,2003,Robin Williams
4830,White Nights , 136 minutes ,Taylor Hackford,2006,Geraldine Page
4831,Constantine (Widescreen Edition) , 121 minutes ,Francis Lawrence,2007,Keanu Reeves
4832,Malcolm X (Keepcase) , 203 minutes ,Spike Lee,2010,Denzel Washington
4833,Trouble in the Heights    ,"1 hour, 30 minutes",Jonathan Ullman,2013,"Rayniel Rufino, Antonio Ortiz"
4834,The Lady From Shanghai - Blu-ray , 88 minutes ,Orson Welles,2015,Rita Hayworth
4835,The Mighty , 100 minutes ,Peter Chelsom,1999,Kieran Culkin
4836,Rebecca , 130 minutes ,Alfred Hitchcock,2008,Laurence Olivier
4837,A Star is Born , 140 minutes ,Frank Pierson,2006,Barbra Streisand
4838,Cement Suitcase    ,"1 hour, 33 minutes",J. Rick Castaneda,2014,"Dwayne Bartholomew, Kristina Guerrero"
4839,Thirteen    ,"1 hour, 39 minutes",Catherine Hardwicke,2003,"Nikki Reed, Evan Rachel Wood"
4840,The Frighteners    ,"1 hour, 51 minutes",Peter Jackson,1996,"Michael J. Fox, Trini Alvarado"
4841,The Big Country , 165 minutes ,William Wyler,2001,Gregory Peck
4842,The Fault In Our Stars (Extended Preview)    ,10 minutes,Josh Boone,2014,"Shailene Woodley, Ansel Elgort"
4843,When a Man Loves a Woman , 126 minutes ,Luis Mandoki,2000,Andy Garcia
4844,Perlasca    ,"2 hours, 5 minutes",Alberto Negrin,2002,"Luca Zingaretti, Jérôme Anger"
4845,St. Elmo's Fire , 108 minutes ,Joel Schumacher,2010,Emilio Estevez
4846,Nine Lives of Fritz the Cat    ,"1 hour, 17 minutes",Robert Taylor,1974,"Skip Hinnant, Reva Rose"
4847,Imagine Me & You    ,"1 hour, 34 minutes",Ol Parker,2006,"Piper Perabo, Lena Headey"
4848,Hope Floats , 114 minutes ,Forest Whitaker,2003,Sandra Bullock
4849,Dark City    ,"1 hour, 38 minutes",William Dieterle,1950,"Charlton Heston, Lizabeth Scott"
4850,The Good Doctor    ,"1 hour, 31 minutes",Lance Daly,2012,"Orlando Bloom, Riley Keough"
4851,Templar Nation    ,"1 hour, 25 minutes",Brian Vance,2013,"Erik Estrada, Richard Dutcher"
4852,The Pretty Boys    ,"1 hour, 44 minutes",Everett Lewis,2012,"Josh Beren, Bryce Blais"
4853,The Searchers    ,"1 hour, 59 minutes",John Ford,1956,"John Wayne, Jeffrey Hunter"
4854,Chariots Of Fire    ,"2 hours, 5 minutes",Hugh Hudson,1981,"Nicholas Farrell, Nigel Havers"
4855,John Hughes Yearbook Collection (The Breakfast Club / Sixteen Candles / Weird Science) (Blu-ray + Digital HD) , 284 minutes ,John Hughes,2015,Molly Ringwald
4856,Captive Heart: The James Mink Story , 92 minutes ,Bruce Pittman,2014,Louis Gossett Jr.
4857,Hit By Lightning    ,"1 hour, 29 minutes",Ricky Blitt,2014,"Stephanie Szostak, Jon Cryer"
4858,Double Jeopardy (1999)    ,"1 hour, 46 minutes",Bruce Beresford,1999,"Tommy Lee Jones, Ashley Judd"
4859,Outbreak    ,"2 hours, 9 minutes",Wolfgang Petersen,1995,"Dustin Hoffman, Rene Russo"
4860,Her , 126 minutes ,Spike Jonze,2014,Joaquin Phoenix
4861,Big: 25th Anniversary Edition [Blu-ray] , 104 minutes ,Penny Marshall,2013,Tom Hanks
4862,Sonny Boy [Blu-ray] , 96 minutes ,Robert Martin Carroll,1916,David Carradine
4863,Gigi (1958) , 116 minutes ,Vincente Minnelli,2010,Leslie Caron
4864,P.S. I Love You , 126 minutes ,Richard LaGravenese,2008,Hilary Swank
4865,Special Treatment (English Subtitled)   ,"1 hour, 36 minutes",Jeanne Labrune,2010,"Isabelle Huppert, Bouli Lanners"
4866,Sex and the City 2 , 1 minutes ,Michael Patrick King,2010,Sarah Jessica Parker
4867,Water For Elephants    ,"2 hours, 1 minute",Francis Lawrence,2011,"Reese Witherspoon, Robert Pattinson"
4868,True Grit , 110 minutes ,Joel Coen,2011,Jeff Bridges
4869,Old Fashioned    ,"1 hour, 55 minutes",Rik Swartzwelder,2014,"Elizabeth Roberts, Rik Swartzwelder"
4870,Curse of the Zodiac    ,"1 hour, 22 minutes",Ulli Lommel,2005,"Cassandra Church, Jack Quinn"
4871,The Nightmare Never Ends    ,"1 hour, 29 minutes",Phillip Marshak,1980,"Cameron Mitchell, Marc Lawrence"
4872,Finding Forrester , 126 minutes ,Gus Van Sant,2014,Sean Connery
4873,Step Up 3 , 107 minutes ,Jon Chu,2010,Sharni Vinson
4874,Angels Crest    ,"1 hour, 34 minutes",Gaby Dellal,2011,"Ameko Eks Mass Carroll, Thomas Dekker"
4875,The Scarlet Pimpernel    ,"2 hours, 22 minutes",Clive Donner,2013,"Anthony Andrews, Jane Seymour"
4876,National Treasure    ,"2 hours, 12 minutes",Jon Turteltaub,2004,"Nicolas Cage, Diane Kruger"
4877,Ragamuffin , 96 minutes ,David Leo Schultz,2014,Michael Koch
4878,Bowling For Columbine    ,"2 hours, 0 minutes",Michael Moore,2002,"Michael Moore, Salvador Allende"
4879,Ghost Exchange    ,"1 hour, 25 minutes",Camilla Sullivan,2013,"Adam Sussman, Harvey Pitt"
4880,Cape Fear (1991)    ,"2 hours, 9 minutes",Martin Scorsese,1991,"Robert De Niro, Nick Nolte"
4881,Love 911 (English Subtitled)   ,"2 hours, 1 minute",Gi-hoon Jeong,2012,"Soo Go, Hyo-ju Han"
4882,Andrzej Zulawski's POSSESSION (1981) UNCUT Special Edition [Digipak] by MONDO VISION [Blu-ray] , 124 minutes ,Andrzej Zulawski,2014,Isabelle Adjani
4883,Meru    ,"1 hour, 31 minutes",Jimmy Chin,2015,"Conrad Anker,Jimmy Chin"
4884,Miss Potter , 92 minutes ,Chris Noonan,2007,Renée Zellweger
4885,21,"2 hours, 3 minutes",Robert Luketic,2008,"Jim Sturgess, Kevin Spacey"
4886,The Tree Of Life    ,"2 hours, 19 minutes",Terrence Malick,2011,"Brad Pitt, Sean Penn"
4887,Gladiator    ,"2 hours, 35 minutes",Ridley Scott,2000,"Russell Crowe, Joaquin Phoenix"
4888,The Dry Valley   ,"1 hour, 29 minutes",Aleksandra Strelyanaya,2011,"Yana Esipovich, Oleg Garkusha"
4889,The Other One    ,"1 hour, 39 minutes",Josef Steiff,2014,"Grace McPhillips,Nancy Sellers"
4890,A Clockwork Orange    ,"2 hours, 17 minutes",Stanley Kubrick,1972,"Malcolm McDowell, Patrick Magee"
4891,TCM Spotlight: Errol Flynn Adventures (Desperate Journey / Edge of Darkness 1943 / Northern Pursuit / Uncertain Glory / Objective Burma) , 542 minutes ,Lewis Milestone,2010,Errol Flynn
4892,Yankee Doodle Dandy [Blu-ray] , 126 minutes ,Michael Curtiz,2014,James Cagney
4893,Martin Scorsese Triple Feature (Goodfellas / The Aviator / The Departed) [Blu-ray] , 466 minutes ,Martin Scorsese,2012,Ray Liotta
4894,RACING HEARTS    ,"1 hour, 38 minutes",Dominique Deruddere,2015,"Jamie Dornan, Anthony Head"
4895,The Beautiful Risk    ,"1 hour, 30 minutes",Mark Penney,2013,"Shaun Benson, Eliane Gagnon"
4896,The Librarian - Quest for the Spear , 106 minutes ,Various,2012,Various
4897,La Bamba , 104 minutes ,Luis Valdez,1999,Elizabeth Pena
4898,Close Encounters Of The Third Kind    ,"2 hours, 18 minutes",Steven Spielberg,1977,"Richard Dreyfuss, François Truffaut"
4899,The Road    ,"1 hour, 52 minutes",John Hillcoat,2009,"Viggo Mortensen, Kodi Smit-McPhee"
4900,Tyler Perry's Hell Hath No Fury Like A Woman Scorned The Play, 111 minutes ,Tyler Perry,2014,Jurnee Smollett-Bell
4901,Take    ,"1 hour, 24 minutes",Charles Oliver,2008,"Minnie Driver, Jeremy Renner"
4902,Herzog: The Collection (Limited Edition) [Blu-ray] , 1500 minutes ,Werner Herzog,2014,Klaus Kinski
4903,The Lives of Others , 138 minutes ,Florian Henckel von Donnersmarck,2007,Martina Gedeck
4904,Tea With Mussolini , 117 minutes ,Franco Zeffirelli,1999,Maggie Smith
4905,Frida , 123 minutes ,Julie Taymor,2011,Salma Hayek
4906,Kingdom of Heaven (Director's Cut) [Blu-ray] , 194 minutes ,Ridley Scott,2006,Orlando Bloom
4907,Wyatt Earp , 190 minutes ,Lawrence Kasdan,2007,Kevin Costner
4908,Cleopatra [Blu-ray] , 251 minutes ,Joseph L. Mankiewicz,2013,Elizabeth Taylor
4909,Runaway Jury    ,"2 hours, 8 minutes",Gary Fleder,2003,"John Cusack, Gene Hackman"
4910,Valentino (1977) [Blu-ray] , 128 minutes ,Ken Russell,1916,Rudolf Nureyev
4911,Casino Royale [Blu-ray] , 144 minutes ,Martin Campbell,2007,Daniel Craig
4912,The Good Shepherd    ,"2 hours, 48 minutes",Robert De Niro,2006,"Matt Damon, Angelina Jolie"
4913,Fargo , 98 minutes ,Ethan Coen,2003,William H. Macy
4914,The Woman in Black , 95 minutes ,James Watkins,2012,Daniel Radcliffe
4915,The Outlaw Josey Wales    ,"2 hours, 16 minutes",Clint Eastwood,1976,"Clint Eastwood, Chief Dan George"
4916,Vicky Cristina Barcelona    ,"1 hour, 37 minutes",Woody Allen,2009,"Rebecca Hall, Scarlett Johansson"
4917,The Outsiders: Complete Novel    ,"1 hour, 55 minutes",Francis Ford Coppola,1983,"C. Thomas Howell, Matt Dillon"
4918,Friend Request Pending    ,13 minutes,Chris Foggin,2012,"Judi Dench, Tom Hiddleston"
4919,The Perfect Storm    ,"2 hours, 10 minutes",Wolfgang Petersen,2000,"George Clooney, Mark Wahlberg"
4920,Lost in Translation [Blu-ray] , 102 minutes ,Sofia Coppola,2010,Bill Murray
4921,The Women (2008)    ,"1 hour, 55 minutes",Diane English,2008,"Meg Ryan, Annette Bening"
4922,Waitress    ,"1 hour, 48 minutes",Adrienne Shelly,2007,"Keri Russell, Nathan Fillion"
4923,Master and Commander: The Far Side of the World [Blu-ray] , 138 minutes ,Peter Weir,2008,Russell Crowe
4924,Naomi and Ely's No Kiss List    ,"1 hour, 31 minutes",Kristin Hanggi,2015,"Victoria Justice,Pierson Fodé"
4925,Wild Horses , 107 minutes ,Robert Duvall,2015,Robert Duvall
4926,Exodus , 208 minutes ,Otto Preminger,2002,Paul Newman
4927,Wrinkles    ,"1 hour, 30 minutes",Ignacio Ferreras,2012,"Tacho González, Álvaro Guevara"
4928,The Best Years of Our Lives , 172 minutes ,Various,2013,Various
4929,Tangerine , 88 minutes ,Sean Baker,2015,Kitana Kiki Rodriguez
4930,Colombiana (Blu-ray + UltraViolet Digital Copy) , 111 minutes ,Olivier Megaton,2011,Zoe Saldana
4931,Albert Schweitzer    ,"1 hour, 53 minutes",Gavin Millar,2015,"Jeroen Krabbé, Barbara Hershey"
4932,L.A. Confidential    ,"2 hours, 18 minutes",Curtis Hanson,1997,"Kevin Spacey, Russell Crowe"
4933,Road To Independence    ,"2 hours, 16 minutes",Mike Church,2015,"Madison Church, Mike Church"
4934,Yentl (Two-Disc Director's Cut) , 132 minutes ,Barbra Streisand,2009,Barbra Streisand
4935,100 Days (English Subtitled)   ,"1 hour, 45 minutes",Henry Chan,2014,"Akira Chen, Tracy Chou"
4936,Appointment With Danger    ,"1 hour, 31 minutes",Lewis Allen,1951,"Alan Ladd, Phyllis Calvert"
4937,Monster-in-Law (New Line Platinum Series) , 102 minutes ,Robert Luketic,2008,Jennifer Lopez
4938,"The Way, Way Back ", 103 minutes ,Nat Faxon,2013,Steve Carell
4939,VEER!    ,"1 hour, 27 minutes",Patrick Barry,2014,"Jesse Gay, Erin Cline"
4940,Apocalypse Now: Redux , 153 minutes ,Francis Ford Coppola,2010,Martin Sheen
4941,The Talented Mr. Ripley    ,"2 hours, 20 minutes",Anthony Minghella,1999,"Matt Damon, Gwyneth Paltrow"
4942,Four Christmases    ,"1 hour, 29 minutes",Seth Gordon,2008,"Vince Vaughn, Reese Witherspoon"
4943,District 9    ,"1 hour, 53 minutes",Neill Blomkamp,2009,"Sharlto Copley, Jason Cope"
4944,"80s Comedies Spotlight Collection [The Breakfast Club, Sixteen Candles, Fast Times at Ridgemont High] (Universal's 100th Anniversary) ", 280 minutes ,John Hughes,2012,Molly Ringwald
4945,Cold Mountain , 154 minutes ,Anthony Minghella,2011,Jude Law
4946,Strange Voices    ,"1 hour, 36 minutes",Arthur Allan Seidelman,1987,"Nancy McKeon, Valerie Harper"
4947,Coach Carter , 137 minutes ,Various,2005,Various
4948,Endgame    ,"1 hour, 46 minutes",Pete Travis,1991,"William Hurt, Chiwetel Ejiofor"
4949,Parenthood    ,"2 hours, 5 minutes",Ron Howard,1989,"Steve Martin, Mary Steenburgen"
4950,From Time To Time , 95 minutes ,Julian Fellowes,2012,Timothy Spall
4951,Ladyhawke [Blu-ray] , 121 minutes ,Richard Donner,2015,Rutger Hauer
4952,4-Movie Midnight Marathon Pack: Psychos , 389 minutes ,Anthony Perkins,2014,Anthony Perkins
4953,2001: A Space Odyssey , 148 minutes ,Stanley Kubrick,2011,Keir Dullea
4954,The Imaginarium of Doctor Parnassus , 123 minutes ,Terry Gilliam,2010,Heath Ledger
4955,The Grocer's Son (English Subtitled)   ,"1 hour, 36 minutes",Eric Guirado,2007,"Nicolas Cazalé, Clotilde Hesme"
4956,Don Jon    ,"1 hour, 31 minutes",Joseph Gordon-Levitt,2013,"Joseph Gordon-Levitt, Scarlett Johansson"
4957,Over the Edge (1979) , 95 minutes ,Jonathan S. Kaplan,2005,Vincent Spano
4958,Dead Frequency    ,"1 hour, 13 minutes",Rob Burrows,2014,"Stephen Mason, Cheryl Moody"
4959,The Korean War    ,29 minutes,Rick Manning,2000,Tru Hawkins
4960,The Woman in Black 2: Angel of Death    ,"1 hour, 39 minutes",Tom Harper,2015,"Phoebe Fox, Merryn Pearse"
4961,Liz in September , 100 minutes ,Fina Torres,2015,Patricia Velasquez
4962,Hedwig and the Angry Inch (New Line Platinum Series) , 91 minutes ,John Cameron Mitchell,2003,John Cameron Mitchell
4963,TCM Greatest Classic Legends Film Collection: Humphrey Bogart (They Drive by Night / Across the Pacific / Passage to Marseille / Action in the North Atlantic) , 518 minutes ,John Huston,2012,Humphrey Bogart
4964,Think Like A Man Too    ,"1 hour, 46 minutes",Tim Story,2014,"Adam Brody, Michael Ealy"
4965,Crossroads , 99 minutes ,Walter Hill,2004,Joe Seneca
4966,The Pianist    ,"2 hours, 30 minutes",Roman Polanski,2003,"Adrien Brody, Emilia Fox"
4967,Northmen: A Viking Saga    ,"1 hour, 38 minutes",Claudio Fäh,2015,"Ed Skrein, Ryan Kwanten"
4968,Penny Serenade    ,"2 hours, 8 minutes",George Stevens,1941,"Irene Dunne, Cary Grant"
4969,Demons: Part 1 (English Subtitled) (English Subtitled)   ,"1 hour, 3 minutes",Vladimir Khotinenko,2014,"Maksim Mateev,Sergei Matovetsky"
4970,Meet Joe Black , 180 minutes ,Martin Brest,2007,Brad Pitt
4971,Imitation of Life , 125 minutes ,Douglas Sirk,2003,Lana Turner
4972,Leviathan , 141 minutes ,Andrey Zvyagintsev,2015,Aleksey Serebryakov
4973,Pippin , 112 minutes ,David Sheehan,2000,Ben Vereen
4974,Seven Pounds    ,"2 hours, 4 minutes",Gabriele Muccino,2008,"Will Smith, Rosario Dawson"
4975,Angst [Blu-ray] , 87 minutes ,Gerald Kargl,2015,Erwin Leder
4976,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles (The Criterion Collection) ", 201 minutes ,Chantal Akerman,2010,Delphine Seyrig
4977,Evita (15th Anniversary Edition) [Blu-ray] , 135 minutes ,Alan Parker,2012,Madonna
4978,The Lord of the Rings: The Two Towers (Widescreen Edition) (2002) , 179 minutes ,Peter Jackson,2003,Elijah Wood
4979,The Raid 2   ,"2 hours, 31 minutes",Gareth Evans,2014,"Iko Uwais, Arifin Putra"
4980,4 Movie Marathon: Classic War Collection (Wake Island / To Hell and Back / Battle Hymn / Gray Lady Down) , 416 minutes ,John Farrow,2011,Charlton Heston
4981,The Other Sister , 130 minutes ,Dante Spinotti,1999,Diane Keaton
4982,Just Friends , 94 minutes ,Roger Kumble,2008,Ryan Reynolds
4983,Rio Bravo (1959) , 141 minutes ,Howard Hawks,2010,John Wayne
4984,Four Windows (English Subtitled)   ,"1 hour, 20 minutes",Christian Moris Müller,2009,"David Behrens, Margarita Broich"
4985,Queen of the Damned    ,"1 hour, 42 minutes",Michael Rymer,2002,"Aaliyah, Stuart Townsend"
4986,Something To Talk About , 106 minutes ,Lasse Hallstrom,2010,Julia Roberts
4987,I Am Legend [Blu-ray] , 101 minutes ,Francis Lawrence,2008,Will Smith
4988,Kids , 91 minutes ,Larry Clark,1997,Leo Fitzpatrick
4989,Soylent Green    ,"1 hour, 37 minutes",Richard Fleischer,1973,"Charlton Heston, Leigh Taylor-Young"
4990,DCU: Son of Batman    ,"1 hour, 15 minutes",Ethan Spaulding,2014,"Jason O'Mara,Stuart Allan"
4991,Tapestry of Shadows    ,"1 hour, 49 minutes",David Martyn Conley,2014,"Cara Sevier, David Martyn Conley"
4992,Complicity    ,"1 hour, 21 minutes",C.B. Harding,2013,"Jenna Boyd, Sean Young"
4993,Precious    ,"1 hour, 50 minutes",Lee Daniels,2009,"Gabourey Sidibe, Mo'Nique"
4994,The Skeleton Key    ,"1 hour, 45 minutes",Iain Softley,2005,"Kate Hudson, Gena Rowlands"
4995,St. Elmo's Fire    ,"1 hour, 48 minutes",Joel Schumacher,1985,"Emilio Estevez, Rob Lowe"
4996,Phenomenon , 123 minutes ,Jon Turteltaub,1997,John Travolta
4997,Above the Rim , 99 minutes ,Jeff Pollack,2004,Duane Martin
4998,I Am Sam    ,"2 hours, 13 minutes",Jessie Nelson,2001,"Sean Penn, Michelle Pfeiffer"
4999,Watership Down [Blu-ray] , 92 minutes ,Martin Rosen,2015,John Hurt
5000,Every Secret Thing , 93 minutes ,Amy J. Berg,2015,Diane Lane
5001,Signs [Blu-ray] , 106 minutes ,M. Night Shyamalan,2008,Mel Gibson
5002,David Searching    ,"1 hour, 44 minutes",Leslie L. Smith,1998,"Anthony Rapp, Camryn Manheim"
5003,The Siege Of Firebase Gloria , 100 minutes ,Brian Trenchard Smith,2012,R. Lee Ermey
5004,Tucker - The Man and His Dream , 110 minutes ,Francis Ford Coppola,2000,Jeff Bridges
5005,Mary of Nazareth , 153 minutes ,Giacomo Campiotti,2014,Alissa Jung
5006,Forgetting the Girl    ,"1 hour, 26 minutes",Nate Taylor,2012,"Christopher Denham, Lindsay Beamish"
5007,The Class    ,"2 hours, 10 minutes",Laurent Cantet,2009,"François Bégaudeau, Agame Malembo-Emene"
5008,Two Lovers    ,"1 hour, 51 minutes",James Gray,2009,"Joaquin Phoenix, Anne Joyce"
5009,The Last House on the Left (Unrated & Theatrical Versions) , 224 minutes ,Dennis Iliadis,2009,Tony Goldwyn
5010,Darling Companion , 104 minutes ,Lawrence Kasdan,2012,Kevin Kline
5011,3:10 to Yuma [Blu-ray] , 122 minutes ,James Mangold,2008,Christian Bale
5012,The Guns of Navarone (Collector's Edition) , 157 minutes ,J. Lee Thompson,2007,James Robertson Justice
5013,Streets of Fire , 93 minutes ,Walter Hill,1998,Michael Pare
5014,Thirteen Days (Infinifilm Edition) , 147 minutes ,Roger Donaldson,2005,Kevin Costner
5015,Rise of the Planet of the Apes, 105 minutes ,Rupert Wyatt,2011,James Franco
5016,Boppin' At The Glue Factory    ,"1 hour, 22 minutes",Jeff Orgill,2013,"Henry Dittman, Conrad Roberts"
5017,Renaissance Man , 128 minutes ,Adam Greenberg,2003,Danny DeVito
5018,Set It Off (Keep Case Packaging) , 123 minutes ,Various,2009,Various
5019,Happy Birthday to You    ,25 minutes,Laura Domínguez,2007,"Laura Domínguez, Ferran Lahoz"
5020,Listen? Amaya (English Subtitled)    ,"1 hour, 49 minutes",Avinash Kumar Singh,2013,"Farooq Shaikh, Deepti Naval"
5021,The Family Man    ,"2 hours, 7 minutes",Brett Ratner,2000,"Nicolas Cage, Téa Leoni"
5022,Defending Your Life , 112 minutes ,Albert Brooks,2010,Albert Brooks
5023,Random Harvest , 126 minutes ,Mervyn LeRoy,2005,Ronald Colman
5024,The Yellow Wallpaper    ,"1 hour, 42 minutes",Logan Thomas,2012,"Aric Cushing,Juliet Landau"
5025,The Secret Life Of Bees    ,"1 hour, 50 minutes",Gina Prince-Bythewood,2008,"Dakota Fanning, Queen Latifah"
5026,The Greatest Game Ever Played , 120 minutes ,Bill Paxton,2006,Shia La Beouf
5027,X-Men: The Last Stand    ,"1 hour, 45 minutes",Brett Ratner,2006,"Hugh Jackman, Halle Berry"
5028,Trash    ,"1 hour, 55 minutes",Stephen Daldry,2015,"Wagner Moura,Selton Mello"
5029,Powder , 112 minutes ,Jerzy Zielinski,1999,Mary Steenburgen
5030,Joyful Noise , 118 minutes ,Todd Graff,2012,Queen Latifah
5031,Black Dog , 89 minutes ,Kevin Hooks,1998,Patrick Swayze
5032,Broken Arrow , 93 minutes ,Delmer Daves,2007,James Stewart
5033,What's Love Got To Do With It? , 118 minutes ,Brian Gibson,1999,Angela Bassett
5034,The Lake House    ,"1 hour, 39 minutes",Alejandro Agresti,2006,"Keanu Reeves, Sandra Bullock"
5035,The Cheyenne Social Club / Firecreek , 228 minutes ,Gene Kelly,2006,James Stewart
5036,Moon    ,"1 hour, 38 minutes",Duncan Jones,2009,"Sam Rockwell, Kevin Spacey"
5037,Sleeping With The Enemy    ,"1 hour, 38 minutes",Joseph Ruben,1991,"Julia Roberts, Patrick Bergin"
5038,50 First Dates    ,"1 hour, 40 minutes",Peter Segal,2004,"Adam Sandler, Drew Barrymore"
5039,The Escort , 88 minutes ,Will Slocombe,2015,Rumer Willis
5040,Bitter Rice [Blu-ray] , 109 minutes ,Giuseppe De Santis,1916,Vittorio Gassman
5041,If There Be Thorns    ,"1 hour, 40 minutes",Nancy Savoca,2015,"Heather Graham, Rachael Carpani"
5042,Mandingo [Blu-ray] , 127 minutes ,Richard Fleischer,2015,James Mason
5043,Tremors 2: Aftershocks    ,"1 hour, 40 minutes",S.S. Wilson,1996,"Fred Ward, Chris Gartin"
5044,Showgirls: 15th Anniversary [Blu-ray] , 166 minutes ,Paul Verhoeven,2011,Elizabeth Berkley
