ID,Title,Time,Director,Year,Cast
5448,Apokalips X,1 hr. 47 min.,Mamat Khalid,2014,"Farid Kamil, Jehan Miskin, Adam Af, Miera Leyana, Peter Davies, Iqram Dinzly"
5449,Shuffleton's Barbershop,1 hr. 27 min.,Mark Jean,2013,"Austin Stowell, Danny Glover, Kayla Ewell, Brett Rice, Dash Pledger-Levine"
5450,Big Bad Wolves,1 hr. 50 min.,Aharon Keshales,2014,"Lior Ashkenazi, Rotem Keinan, Tzahi Grad, Dov Glickman, Menashe Noy, Menasheh Noy"
5451,Gambit,1 hr. 29 min.,Michael Hoffman,2016,"Colin Firth, Cameron Diaz, Alan Rickman, Tom Courtenay, Stanley Tucci, Cloris Leachman"
5452,Gloria,1 hr. 48 min.,SebastiÌÁn Lelio,2014,"Paulina GarcÌ_a, Sergio HernÌÁndez, Diego Fontecilla, Fabiola Zamora, Alejandro Goic, Marcial Tagle"
5453,The Easy Life,1 hr. 43 min.,Dino Risi,1962,"Jean-Louis Trintigna..., Vittorio Gassman, Catherine Spaak, Luciana Angiolillo, Linda Sini, Corrado Olmi"
5454,Dark Hearts,1 hr. 37 min.,Rudolf Buitendach,2012,"Kyle Schmid, Sonja Kinski, Lucas Till, Rachel Blanchard, Juliet Landau, Richard Edson"
5455,Bucksville,1 hr. 44 min.,Chel White,2011,"Allen Nause, David Bodin, Ted Rooney, Thomas Stroppel, Tom Berenger, Storm Large"
5456,El CapitÌÁn Trueno y el Santo Grial (Captain Thunder),1 hr. 47 min.,Antonio HernÌÁndez,2014,"Natasha Yarovenko, Sergio Peris-Menchet..., Asier Etxeandia, Gary Piquer, Alejandro Naranjo, Roberto Ìlvarez"
5457,Gimme Shelter,1 hr. 40 min.,Ron Krauss,2014,"Vanessa Hudgens, James Earl Jones, Rosario Dawson, Brendan Fraser, Stephanie Szostak, Ann Dowd"
5458,Bad Country,1 hr. 16 min.,Chris Brinker,2014,"Amy Smart, Matt Dillon, Willem Dafoe, Neal McDonough, Tom Berenger, J.D. Evermore"
5459,Asian School Girls,1 hr. 30 min.,Lawrence Silverstein,2014,"Minnie Scarlet, Sam Aotaki, Andray Johnson, Alan Pietruzewski, Catherine Kim, Alan Pietruszewski"
5460,Locker 13,1 hr. 30 min.,Bruce Dellis,2014,"Rick Schroder, Jason Spisak, Jon Gries, Rick Hoffman, Tatyana Ali, Jason Marsden"
5461,Escape From Tomorrow,1 hr. 30 min.,Randy Moore,2013,"Roy Abramsohn, Elena Schuber, Katelynn Rodriguez, Annet Mahendru, Danielle Safady, Alison Lees-Taylor"
5462,The Best Offer,2 hr. 11 min.,Giuseppe Tornatore,2014,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland, Philip Jackson, Dermot Crowley"
5463,The Selfish Giant,1 hr. 31 min.,Clio Barnard,2013,"Conner Chapman, Shaun Thomas, Sean Gilder, Ian Burfield, Lorraine Ashbourne, Siobhan Finneran"
5464,The Rocket,1 hr. 36 min.,Kim Mordaunt,2014,"Sitthiphon Disamoe, Loungnam Kaosainam, Thep Pho-Ngam, Alice Keohavong, Bunsri Yindi, Sumrit Warin"
5465,Labor Day,1 hr. 50 min.,Jason Reitman,2014,"Josh Brolin, Kate Winslet, Gattlin Griffith, Brooke Smith, Clark Gregg, Tobey Maguire"
5466,The Strange Woman,1 hr. 40 min.,Douglas Sirk,1946,"Hedy Lamarr, George Sanders, Louis Hayward, Gene Lockhart, Hillary Brooke, Rhys Williams"
5467,Brownian Movement,1 hr. 37 min.,Nanouk Leopold,2010,"Sandra HÌ_ller, Dragan Bakema, Sabine Timoteo, Ryan Brodie, Frieda Pittoors, Sandra Huller"
5468,Blood Shed,1 hr. 34 min.,Patrick Hasson,2014,"Gabriel De Santi, Ling Bai, Bree Essrig, Cherie Daly, Vida Guerra, Yasha Blackman"
5469,Brightest Star,1 hr. 20 min.,Maggie Kiley,2014,"Chris Lowell, Rose McIver, Jessica Szohr, Clark Gregg, Allison Janney, Peter Jacobson"
5470,Nearlyweds,1 hr. 27 min.,Mark Griffiths,2013,"Naomi Judd, Danielle Panabaker, Travis Milne, Brittney Irvin, Jessica Parker Kenne..., Britt Irvin"
5471,Abby in the Summer (Making the Rules),1 hr. 17 min.,Jimbo Lee,2014,"Frances Conroy, Jaime Pressly, Joey Lauren Adams, Robin Thicke, Tygh Runyan, Steve Agee"
5472,Sugar,1 hr. 37 min.,Rotimi Rainwater,2013,"Austin Williams, Corbin Bleu, Marshall Allman, Shenae Grimes, Wes Studi, William Peltz"
5473,Simon and the Oaks,2 hr. 2 min.,Lisa Ohlin,2012,"Bill SkarsgÌ´rd, Helen SjÌ¦holm, Jan Josef Liefers, Jonatan S. WÌ_chter, Stefan GÌ¦dicke, Maria KulleKarl Linn..."
5474,Veronica Mars,1 hr. 48 min.,Rob Thomas (II),2014,"Kristen Bell, Ryan Hansen, Jason Dohring, Chris Lowell, Tina Majorino, Francis Capra"
5475,Josh,1 hr. 44 min.,Iram Parveen Bilal,2013,"Aamina Sheikh, Khalid Malik, Adnan Shah Tipu, Salim Mairaj, Parveen Akber, Mohib Mirza"
5476,After the Dark,1 hr. 47 min.,John Huddles,2014,"James D'Arcy, Bonnie Wright, Freddie Stroma, Daryl Sabara, Sophie Lowe, Rhys Wakefield"
5477,Still Mine,1 hr. 42 min.,Michael McGowan,2013,"James Cromwell, GeneviÌ¬ve Bujold, Rick Roberts, Julie Stewart, Campbell Scott, Jonathan Potts"
5478,Call Me Crazy: A Five Film,1 hr. 25 min.,Laura Dern,2013,"Brittany Snow, Jennifer Hudson, Sarah Hyland, Melissa Leo, Octavia Spencer, Sofia Vassilieva"
5479,Strong Black Woman,2 hr.,Carl Jackson (XI),2013,"Jennifer Brinker, Ceci Parker, Martrell Upton, Andrea Jones, Esquire Duke, Marcin Doroci?ski"
5480,As High As The Sky,1 hr. 31 min.,Nikki Braendlin,2012,"Bonnie McNeil, Caroline Fogarty, Laurel Porter, Dee Wallace Stone, Jenny O'Hara, Dee Wallace"
5481,Chlorine,1 hr. 33 min.,Jay Alaimo,2014,"Kyra Sedgwick, Vincent D'Onofrio, Tom Sizemore, Elisabeth RÌ¦hm, Rhys Coiro, Flora Cross"
5482,Stay,1 hr. 39 min.,Wiebke von Carolsfeld,2014,"Taylor Schilling, Aidan Quinn, Michael Ironside, Barry Keoghan, Nika McGuigan, Chris McHallem"
5483,Camp Harlow,1 hr. 27 min.,Shane Hawks,2014,"Aj Olson, Monique Hurd, Andrew Dyer, Jasmin Savoy Brown, Adam Thomas Anderegg"
5484,A Tiger's Tail,1 hr. 17 min.,Michael J. Sarna,2014,"Greg Grunberg, Darlene Vogel, William Spencer, Zachary Friedman, Dan DiMaggio, Logan Soul Gould"
5485,Hamlet & Hutch,1 hr. 30 min.,Matthew Young,2014,"Burt Reynolds, Elizabeth Leiner, Emma Rayne Lyle, Terri J. Vaughn, Cassi Davis, Travis Young"
5486,Sleeping Beauty,1 hr. 30 min.,Casper Van Dien,2014,"Casper Van Dien, Olivia d'Abo, Grace VanDien, Catherine Oxenberg, Finn Jones, Dylan Vox"
5487,Poseidon Rex,1 hr. 38 min.,Mark L. Lester,2014,"Brian Krause, Anne McDaniels, Steven Helmkamp, Candice NuÌ±es, Gildon Roland, Berne Velasquez"
5488,Stalingrad,2 hr. 15 min.,Fyodor Bondarchuk,2014,"Thomas Kretschmann, Yanina Studilina, Phillippe Reinhardt, Heiner Lauterbach, Pyotr Fydorov"
5489,Tanta agua,1 hr. 42 min.,Ana Guevara,2014,"NÌ©stor Guzzini, MalÌ¼ Chouza, JoaquÌ_n Castiglioni, SofÌ_a Azambuya, AndrÌ©s Zunini"
5490,Educazione siberiana,1 hr. 43 min.,Gabriele Salvatores,2013,"Arnas Fedaravicius, Vilius Tumalavicius, Eleanor Tomlinson, Jonas Trukanas, Vitalji Porsnev, John Malkovich"
5491,Special ID,1 hr. 39 min.,Clarence Fok Yiu-leung,2014,"Donnie Yen, Jing Tian, Ronald Cheng, Zhang Hanyu, Andy On, Collin Chou"
5492,Generation Iron,1 hr. 47 min.,Vlad Yudin,2013,"Mickey Rourke, Kai Greene, Phil Heath, Dennis Wolff, Dennis Wolf, Arnold Schwarzenegge..."
5493,After Tiller,1 hr. 25 min.,Lana Wilson,2013,"LeRoy Carhart, Warren Hern, Susan Robinson, Shelley Sella"
5494,The Next Day,1 hr. 24 min.,Al Robbins,2012,"Deanna Dawn, Alfred Robbins, Christopher Martin, E. Roger Mitchell, Lashawn Butler, Prieska Outland"
5495,Shelter Island,1 hr. 19 min.,Michael Canzoniero,2012,"Jimmy Olinkiewicz, Harald Olsen, Brittany Olinkiewicz, James Olinkiewicz"
5496,Her,2 hr. 6 min.,Spike Jonze,2013,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara, Chris Pratt, Olivia Wilde"
5497,Stranger by the Lake,1 hr. 37 min.,Alain Guiraudie,2014,"Pierre Deladonchamps, Christophe Paou, Patrick d'AssumÌ¤ao, JÌ©rÌ«me Chappatte, Mathieu Vervisch, Matthieu Vervisch"
5498,Garage Sale Mystery,1 hr. 24 min.,Peter DeLuise,2013,"Lori Loughlin, Andrew Dunbar, Rick Ravanello, Sara Canning, Cameron Bancroft, Sarah Strange"
5499,Birthday Cake,1 hr. 25 min.,Chad Darnell,2013,"Chad Darnell, Rib Hillis, Helen Shaver, Lee Meriwether, Peter Paige, Jane Badler"
5500,The Patrol,1 hr. 25 min.,Tom Petch,2013,"Alex McNally, Nav Sidhu, Nicholas Beveney, Ben Righton, Owain Arthur, Daniel Fraser"
5501,Pleased To Meet Me,1 hr. 28 min.,Archie Borders,2013,"John Doe, Adam Kramer, Aimee Mann, Karin Bergquist, Loudon Wainwright II..., Joe Henry"
5502,Gold,1 hr. 40 min.,Thomas Arslan,2013,"Nina Hoss, Marko Mandic, Peter Kurth, Uwe Bohm, Lars Rudolph, Rosa Enskat"
5503,Weekend Of A Champion,1 hr. 34 min.,Roman Polanski,2013,"Roman Pola?ski, Jackie Stewart, Helen Stewart, Roman Polanski"
5504,Sophia Grace and Rosie's Royal Adventure,1 hr. 20 min.,Brian Levant,2014,"Sophia Grace Brownle..., Rosie McClelland, Anna Skellern, Emma Pierson, Alex McGregor, Margaret Clunie"
5505,Like Someone in Love,1 hr. 49 min.,Abbas Kiarostami,2013,"Rin Takanashi, Tadashi Okuno, Ryo Kase, Denden, Mihoko Suzuki, Kaneko Kubota"
5506,In Secret,1 hr. 46 min.,Charlie Stratton,2014,"Elizabeth Olsen, Oscar Isaac, Tom Felton, Jessica Lange, Shirley Henderson, John Kavanagh"
5507,Pompeii,1 hr. 45 min.,Paul W.S. Anderson,2014,"Emily Browning, Kit Harington, Carrie-Anne Moss, Adewale Akinnuoye-Ag..., Jessica Lucas, Jared Harris"
5508,Broken Side Of Time,2 hr. 6 min.,Gorman Bechard,2014,"Audria Ayers, Olivia Whelan, Lynn Mancinelli, Jessica Mazo"
5509,Way of the Wicked,1 hr. 32 min.,Kevin Carraway,2014,"Vinnie Jones, Emily Tennant, Jake Croker, Aren Buchholz, Brittney Wilson, Jedidiah Goodacre"
5510,Vampire Academy,1 hr. 45 min.,Mark Waters,2014,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Daniil Kozlovskiy, Gabriel Byrne, Sarah Hyland"
5511,McCanick,1 hr. 36 min.,Josh C. Waller,2014,"David Morse, Cory Monteith, CiarÌÁn Hinds, Cory Montieth, Mike Vogel, Tracie Thoms"
5512,The Monuments Men,1 hr. 58 min.,George Clooney,2014,"George Clooney, Matt Damon, Bill Murray, John Goodman, Jean Dujardin, Bob Balaban"
5513,Cold Turkey,1 hr. 24 min.,Will Slocombe,2013,"Peter Bogdanovich, Ashton Holmes, Alicia Witt, Sonya Walger, Ross Partridge, Amy Ferguson"
5514,Claire,1 hr. 40 min.,Dan Ast,2013,"Aidan Bristow, Cory Driscoll, Avital Ash, Carolina Castro, Landon Ashworth"
5515,Tapped Out,1 hr. 48 min.,Allan Ungar,2014,"Cody Hackman, Krzysztof Soszynski, Anderson ""The Spider..., Michael Biehn, Lyoto Machida, Martin Kove"
5516,The Trials of Cate McCall,1 hr. 33 min.,Karen Moncrieff,2013,"Kate Beckinsale, Clancy Brown, Taye Diggs, Nick Nolte, Anna Anissimova, Mark Pellegrino"
5517,Journey To The West,56 min.,Chi-kin Kwok,2014,"Qi Shu, Zhang Wen, Bo Huang, Show Lo, Lee Sheung-Ching, Chen Bing Qiang"
5518,Endless Love,1 hr. 45 min.,Shana Feste,2014,"Alex Pettyfer, Gabriella Wilde, Bruce Greenwood, Robert Patrick, Rhys Wakefield, Dayo Okeniyi"
5519,Run & Jump,1 hr. 45 min.,Steph Green,2014,"Maxine Peake, Will Forte, Edward Macliam, Ruth McCabe, Sharon Horgan, Brendan Morris"
5520,Could This Be Love? (Je crois que je l'aime),1 hr. 28 min.,Pierre Jolivet,2007,"Drew Sidora, Thomas Mikal Ford, Steven Sutton, Dominique DuVernay, Percy Romeo Miller, Vincent Lindon"
5521,Ghostlight,1 hr. 30 min.,Jeff Ferrell,2013,"Brian Sutherland, Lisa Coronado, Dennis T. Kleinsmith, Russell Hodgkinson, Ramona Freeborn, David Crellin"
5522,Small Time,1 hr. 44 min.,Joel Surnow,2014,"Dean Norris, Christopher Meloni, Devon Bostick, Bridget Moynahan, Amaury Nolasco, Xander Berkeley"
5523,Beyond The Trophy,1 hr. 39 min.,Daniel J. Gillin,2012,"Michael Madsen, Stephen Cloud, Robert Miano, Tommy ""Tiny"" Lister ..., Ali Costello, Murat Han"
5524,Parts Per Billion,1 hr. 38 min.,Brian Horiuchi,2013,"Josh Hartnett, Gena Rowlands, Alexis Bledel, Frank Langella, Rosario Dawson, Hill Harper"
5525,The Trouble with the Truth,1 hr. 36 min.,Jim Hemphill,2012,"John Shea, Lea Thompson, Danielle Harris, Keri Lynn Pratt, Rainy Kerwin"
5526,Goodbye World,1 hr. 40 min.,Denis Hennelly,2014,"Caroline Dhavernas, Adrian Grenier, Gaby Hoffmann, Benjamin McKenzie, Mark Webber, Kerry BishÌ©"
5527,Son Of God,2 hr. 18 min.,Christopher Spencer,2014,"Diogo Morgado, Roma Downey, Amber Rose Revah, Andrew Brooke, Louise Delamere, Greg Hicks"
5528,The Motel Life,1 hr. 25 min.,Alan Polsky,2013,"Emile Hirsch, Stephen Dorff, Dakota Fanning, Kris Kristofferson, Dayton Callie, Jenica Bergere"
5529,Brawl,1 hr. 32 min.,Julaluck Ismalone,2012,"Jakkrit Kanokpodjana..., Jirantanin Pitakporn..., Jawed El Berni, Suchao Pongwilai, David Ismalone"
5530,Love Will Keep Us Together,1 hr. 28 min.,Roger Melvin,2013,"Cynthia Kaye McWilli..., Juhahn Jones, Reagan Gomez-Preston, Rodney Perry, Valarie Pettiford, Wesley Jonathan"
5531,Ghost of Goodnight Lane,1 hr. 36 min.,Alin Bijan,2014,"Billy Zane, Lacey Chabert, Danielle Harris, Matt Dallas, Christine Quinn, Adam Whittington"
5532,Tim's Vermeer,1 hr. 20 min.,Raymond Joseph Teller,2014,"Tim Jenison, David Hockney, Martin Mull, Penn Jillette, Philip Steadman, Colin Blakemore"
5533,Devil's Knot,1 hr. 54 min.,Atom Egoyan,2014,"Reese Witherspoon, Colin Firth, Amy Ryan, Mireille Enos, Stephen Moyer, Dane DeHaan"
5534,Capital,1 hr. 54 min.,Maxim Pozdorovkin,2013,"Gad Elmaleh, Gabriel Byrne, Liya Kebede, Natacha RÌ©gnier, CÌ©line Sallette, Hippolyte Girardot"
5535,Omar,1 hr. 36 min.,Hany Abu-Assad,2014,"Adam Bakri, Leem Lubany, Samer Bisharat, Waleed F. Zuaiter, Eyad Hourani, Mousa Habib Allah"
5536,The Mummy Resurrected,1 hr. 24 min.,Patrick McManus,2014,"Lauren Bronleewe, Elizabeth Zox Friedm..., Sarah Schrieber, Bailey Gaddis, Stuart Rigby, Iyad Hajjaj"
5537,Lust for Love,1 hr. 25 min.,Anton King,2014,"Fran Kranz, Dichen Lachman, Beau Garrett, Caitlin Stasey, Enver Gjokaj, Karim Saleh"
5538,Star Spangled Banners,1 hr. 25 min.,Don McBrearty,2013,"Brooke White, Christian Campbell, Michael Barbuto, Mercedes Ruehl, Kristin Booth, Chad Connell"
5539,Mississippi Shakedown,1 hr. 36 min.,Dewey Allen,2012,"Mando Allen, Dewey Allen, Jennifer Hawkins, Money Bagz, Tikoyo Brooks, Demetric Dent"
5540,Echo Dr.,1 hr. 30 min.,Patrick Ryan Sims,2014,"Dane Bowman, Claire Gordon-Harper, Johnathan Hurley, Chris Maple, Hugh Mun, Johnnie Lyne-Pirkis"
5541,Perfect Sisters,1 hr. 41 min.,Stanley M. Brooks,2014,"Abigail Breslin, Mira Sorvino, Georgie Henley, Jeffrey Ballard, James Russo, ZoÌÇ Belkin"
5542,Redwood Highway,1 hr. 30 min.,Gary Lundgren,2014,"Shirley Knight, Tom Skerritt, James LeGros, Zena Grey, Michelle Lombardo, Sam Daly"
5543,MidRange,1 hr. 52 min.,Jason Fields,2013,"Sean Douglas, Jason Fields, John Block, McKenna Jones, Susan Grace, Stephen Bolden-Stapl..."
5544,Jack Ryan: Shadow Recruit,1 hr. 45 min.,Kenneth Branagh,2014,"Chris Pine, Kevin Costner, Kenneth Branagh, Peter Andersson, Keira Knightley, Michael Starke"
5545,The Missing Picture,1 hr. 36 min.,Rithy Panh,2014,"Jean-Baptiste Phou, Jean-Baptiste Phou, Randal Douc"
5546,A Box For Rob,1 hr. 40 min.,Renzo Vasquez,2013,"Mark Scarboro, Brett Grntile, Iron Singleton, Johanna Jowett, Robert C. Treveiler"
5547,Cruisin',1 hr. 25 min.,John F. Uranday,2014,"Noel Gugliemi, Liana Mendoza, Destiny Monique, Da Stooie Bros, Mario Orozco, Roscoe Umali"
5548,Alpha Alert,1 hr. 24 min.,Matthew Thompson,2014,"Jennifer Morrison (I..., Josh Stewart, James Frain, Jude Ciccolella, Stephen Rider, Kimberly Elise"
5549,Four of Hearts,1 hr. 39 min.,Eric Haywood,2013,"Darrin Dewitt Henson, Nadine Ellis, Gabriel Olds, Michelle Krusiec, Victoria Gabrielle P..., Jenn Korbee"
5550,"""2 Autumns, 3 Winters""",1 hr. 31 min.,SÌ©bastien Betbeder,2014,"Vincent Macaigne, Maud Wyler, Bastien Bouillon, Audrey Bastien, Thomas Blanchard, Pauline Etienne"
5551,The Monkey's Paw,1 hr. 31 min.,Brett A. Simmons,2013,"Stephen Lang, Corbin Bleu, C.J. Thomason, Charles S. Dutton, Daniel Hugh Kelly, Michelle Pierce"
5552,Assumed Killer,1 hr. 28 min.,Bernard Salzmann,2013,"Armand Assante, Barbie Castro, Casper Van Dien, Christie Lynn Smith, Eric Roberts, William R. Moses"
5553,A Measure Of The Sin,1 hr. 16 min.,Jeff Wedding,2014,"Katie Groshong, Allyce Wix, Cody Cheyenne, Starina Johnson, Dale Rainey, Stephen Jackson"
5554,Meth Head,1 hr. 48 min.,Jane Clark,2013,"Lukas Haas, Blake Berris, Necar Zadegan, Wilson Cruz, Tom Sizemore"
5555,Judex,1 hr. 43 min.,Georges Franju,1963,"Channing Pollock, Sylva Koscina, Edith Scob, Francine BergÌ©, Michel Vitold, Jacques Jouanneau"
5556,The Occupants,1 hr. 20 min.,Todd Alcott,2014,"Cristin Milioti, Michael Rady, Toby Huss, James Urbaniak, Kristen Ariza, Macey Cruthird"
5557,The Odd Way Home,1 hr. 27 min.,Rajeev Nirmalakhandan,2014,"Christopher George M..., Rumer Willis, Veronica Cartwright, Bruce Altman, Brendan Sexton III, Chris Marquette"
5558,A Fighting Man,1 hr. 25 min.,Damian Lee,2013,"James Caan, Dominic Purcell, Famke Janssen, Sheila McCarthy, Louis Gossett Jr, Adam Beach"
5559,The Attorney,2 hr. 7 min.,Yang Woo-seok,2014,"Song Kang-ho, Kim Young-ae, Dal-su Oh, Kwak Do-won, Do Won Kwak, Lim Si-wan"
5560,On Angel's Wings,1 hr. 24 min.,Aaron L. Williams,2013,"Reginald VelJohnson, Robin Givens, Bill Cobbs, Taylor Faye Ruffin, Sweet Brown, Tyler Humphrey"
5561,Fancypants,1 hr. 26 min.,Joshua Russell,2011,"Patrick Gleason, Robert Carradine, Roddy Piper, Amy Hendricks, Jackson Dunn, Patrick Zielinski"
5562,Joe,1 hr. 56 min.,David Gordon Green,2014,"Nicolas Cage, Tye Sheridan, Gary Poulter, Ronnie Gene Blevins, Adrienne Mishler, A.J. Wilson McPhaul"
5563,Zero Dark Dirty,1 hr. 29 min.,Joe Walser,2014,"Alexander Loy, Mark Metcalf, Noelle Locke, Iron Sheik, Corey Feldman, Frank Stallone"
5564,The Grand Budapest Hotel,1 hr. 39 min.,Wes Anderson,2014,"Ralph Fiennes, F Murray Abraham, Edward Norton, Saoirse Ronan, Tilda Swinton, Bill Murray"
5565,Test,1 hr. 29 min.,Chris Mason Johnson,2014,"Scott Marlowe, Matthew Risch, Myles Thatcher, James Sofranko, Damon K. Sperber, Katherine Wells"
5566,Jimmy P.,1 hr. 57 min.,Arnaud Desplechin,2014,"Benicio Del Toro, Mathieu Amalric, Gina McKee, Larry Pine, Joseph Cross, Jennifer Podemski"
5567,Once Upon A Time In Dublin,1 hr. 36 min.,Jason Figgis,2014,"Karl Hayden, Emmet Scanlan, Bill Fellows, Jonathan Hyde, Brian Fortune, Emmett Scanlan"
5568,Return to Zero,1 hr. 47 min.,Sean Hanish,2014,"Minnie Driver, Paul Adelstein, Alfred Molina, Connie Nielsen, Kathy Baker, Sarah Jones"
5569,Breaking Through,1 hr. 25 min.,Cindy Abel,2014,"Tammy Baldwin (II), Alex Wan (II), Kathy Webb"
5570,DÌ©ficit,1 hr. 19 min.,Gael GarcÌ_a Bernal,2007,"Gael GarcÌ_a Bernal, Camila Sodi, Luz Cipriota, Tenoch Huerta MejÌ_a, Alvaro Verduzco, Giovanna ZacarÌ_as"
5571,We Are the Best!,1 hr. 42 min.,Lukas Moodysson,2014,"Mira Barkhammar, Liv LeMoyne, Mira Grosin, Alexander Karlsson, David Dencik, Johan Liljemark"
5572,Solo,1 hr. 15 min.,Isaac Cravit,2013,"Annie Clark (II), Daniel Kash, Richard Clarkin, Steven Love, Alyssa Capriotti, Sonia Laplante"
5573,Nicky's Family,1 hr. 36 min.,Matej Minac,2013,"Joe Schlesinger, Milena Grenfell-Bain..., Liesl Silverstone, Alice Masters, Kurt Stern, Malka Sternberg"
5574,Two Lives,1 hr. 37 min.,Georg Maas,2014,"Juliane KÌ¦hler, Liv Ullmann, Sven Nordin, Ken Duken, Julia Bache-Wiig, Rainer Bock"
5575,What Richard Did,1 hr. 29 min.,Lenny Abrahamson,2013,"Jack Reynor, RÌ_isÌ_n Murphy, Sam Keeley, Lars Mikkelsen, Fionn Walton, Gavin Drea"
5576,Some Velvet Morning,1 hr. 22 min.,Neil LaBute,2013,"Stanley Tucci, Alice Eve"
5577,Lucky Dog,1 hr. 36 min.,Huayang Fu,2013,"Jaimie Marchi, Bryce Johnson, Boti Ann Bliss, David DeLuise, Cat Deeley, Lara Flynn Boyle"
5578,Rob the Mob,1 hr. 44 min.,Raymond De Felitta,2014,"Michael Pitt, Nina Arianda, Andy Garcia, Ray Romano, Griffin Dunne, Michael Rispoli"
5579,Faust,2 hr. 19 min.,Aleksandr Sokurov,2013,"Johannes Zeiler, Anton Adasinsky, Isolda Dychauk, Georg Friedrich, Hanna Schygulla, Antje Lewald"
5580,300: Rise of an Empire,1 hr. 43 min.,Noam Murro,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro, David Wenham"
5581,"""Bumblefuck, USA""",1 hr. 30 min.,Aaron Douglas Johnston,2011,"Cat Smits, Heidi M. Sallows, Jef Smith, John Watkins"
5582,Winter's Tale,2 hr.,Akiva Goldsman,2014,"Colin Farrell, Jessica Brown Findla..., Russell Crowe, William Hurt, Jennifer Connelly, Ripley Sobo"
5583,Blood Ties,2 hr. 7 min.,Guillaume Canet,2014,"Clive Owen, Billy Crudup, Marion Cotillard, Mila Kunis, Zoe Saldana, Matthias Schoenaerts"
5584,Pride of Lions (The Dependables),1 hr. 41 min.,Sidney J. Furie,2013,"Bo Svenson, Margot Kidder, Louis Gossett Jr., Seymour Cassel, Cedric Smith, Tom Jackson"
5585,Sister,1 hr. 37 min.,Ursula Meier,2012,"LÌ©a Seydoux, Kacey Mottet Klein, Martin Compston, Jean-FranÌ¤ois StÌ©ven..., Gillian Anderson, Yann TrÌ©gouÌÇt"
5586,Land Gold Women,1 hr. 39 min.,Avantika Hari,2012,"Christopher Villiers, Hassani Shapi, Aaron Virdee, Narinder Samra, Ali Zahoor"
5587,11 settembre 1683 (The Day of the Siege: September Eleven 1683),1 hr. 54 min.,Renzo Martinelli,2012,"Jerzy Skolimowski, Enrico Lo Verso, F Murray Abraham, Alicja Bachleda-Curu..., Piotr Adamczyk, Edward Linde-Lubasze..."
5588,Small Small Thing,1 hr. 23 min.,Jessica Vale,2014,"Jessica Vale, Leymah Gbowee, Ellen Johnson Sirlea..., Louis Johnson"
5589,For Those In Peril,1 hr. 25 min.,Paul Wright,2014,"Brian McCardie, George MacKay, Kate Dickie, Michael Smiley, Nichola Burley, Katie Dickey"
5590,Scavenger Killers,1 hr. 40 min.,Dylan Bank,2013,"Charles Durning, Dustin Diamond, Eric Roberts, Robert Bogue, Robert Loggia, Kim Allen"
5591,Afflicted,1 hr. 26 min.,Derek Lee,2014,"Baya Rehaz, Clif Prowse, Derek Lee, Edo Van Breemen, Zachary J. Gray"
5592,The Lunchbox,1 hr. 44 min.,Ritesh Batra,2014,"Irrfan Khan, Irfan Khan, Bharati Achrekar, Denzil Smith, Nimrat Kaur, Nawazuddin Siddiqui"
5593,"""Like Father, Like Son""",2 hr. 2 min.,Hirokazu Koreeda,2014,"Masaharu Fukuyama, Machiko Ono, Yoko Maki, Lily Franky, Keita Ninomiya, Jun Kunimura"
5594,Lullaby,1 hr. 57 min.,Andrew Levitas,2014,"Garrett Hedlund, Richard Jenkins, Anne Archer, Jessica Brown Findla..., Amy Adams, Jessica Barden"
5595,Hunting the Legend,1 hr. 35 min.,Justin Steeley,2014,"Hannah Wallace, Jeff Causey, Chris Copeland"
5596,Ragamuffin,2 hr. 17 min.,David Schultz,2014,"Michael Koch, David Leo Schultz, James Kyson, Mel Fair, Wolfgang Bodison, Carson Aune"
5597,Don Peyote,1 hr. 38 min.,Dan Fogler,2014,"Dan Fogler, Josh Duhamel, Jay Baruchel, Wallace Shawn, Timothy ""Speed"" Levi..., Timothy 'Speed' Levi..."
5598,Lost Moment,1 hr. 29 min.,Martin GÌ_bler,1947,"Robert Cummings, Susan Hayward, Agnes Moorehead, Eduardo Ciannelli, Joan Lorring, John Archer"
5599,Kid Cannabis,1 hr. 45 min.,John Stockwell,2014,"Jonathan Brown, Kenny Wormald, Ron Perlman, Aaron Yoo, John C. McGinley, Corey Large"
