Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
"Live Orchestral Piano, a system for real-time orchestral music generation","Lopold Crestel, Philippe Esling","18 May, 2017",,Learning Feature Selection Dependencies in Multi-task Learning,"Daniel Hernndez-Lobato, Jos Miguel Hernndez-Lobato",December 2013,Neurips 2013,0
Machine Learning Accelerated Likelihood-Free Event Reconstruction in Dark Matter Direct Detection,"U. Simola, B. Pelssers, D. Barge, J. Conrad, J. Corander","25 February, 2019",,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching,"Marcelo Fiori, Pablo Sprechmann, Joshua Vogelstein, Pablo Muse, Guillermo Sapiro",December 2013,Neurips 2013,0
Regularization Parameter Selection for a Bayesian Multi-Level Group Lasso Regression Model with Application to Imaging Genomics,"Farouk S. Nathoo, Keelin Greenlaw, Mary Lesperance","26 March, 2016",,Sparse Overlapping Sets Lasso for Multitask Learning and its Application to fMRI Analysis,"Nikhil Rao, Christopher Cox, Rob Nowak, Timothy T. Rogers",December 2013,Neurips 2013,0
GANAX: A Unified MIMD-SIMD Acceleration for Generative Adversarial Networks,"Amir Yazdanbakhsh, Hajar Falahati, Philip J. Wolfe, Kambiz Samadi, Nam Sung Kim, Hadi Esmaeilzadeh","10 May, 2018",,Why so gloomy? A Bayesian explanation of human pessimism bias in the multi-armed bandit task,"Dalin Guo, Angela J. Yu",December 2018,Neurips 2018,0
Restricted Eigenvalue from Stable Rank with Applications to Sparse Linear Regression,"Shiva Prasad Kasiviswanathan, Mark Rudelson","17 February, 2018",,Deep Subspace Clustering Networks,"Pan Ji, Tong Zhang, Hongdong Li, Mathieu Salzmann, Ian Reid",December 2017,Neurips 2017,0
Latent Sequence Decompositions,"William Chan, Yu Zhang, Quoc Le, Navdeep Jaitly","7 February, 2017",,Recurrent Ladder Networks,"Isabeau Prmont-Schwarz, Alexander Ilin, Tele Hao, Antti Rasmus, Rinu Boney, Harri Valpola",December 2017,Neurips 2017,0
Deducing Kurdyka-?ojasiewicz exponent via inf-projection,"Peiran Yu, Guoyin Li, Ting Kei Pong","10 February, 2019",,A Bayes-Sard Cubature Method,"Toni Karvonen, Chris J. Oates, Simo Sarkka",December 2018,Neurips 2018,0
Kalman Temporal Differences,"Matthieu Geist, Olivier Pietquin","16 January, 2014","Journal Of Artificial Intelligence Research, Volume 39, pages 483-532, 2010",Scalable Inference for Logistic-Normal Topic Models,"Jianfei Chen, Jun Zhu, Zi Wang, Xun Zheng, Bo Zhang",December 2013,Neurips 2013,0
Blind Image Denoising via Dependent Dirichlet Process Tree,"Fengyuan Zhu, Guangyong Chen, Jianye Hao, Pheng-Ann Heng","12 January, 2016",,A Model for Learned Bloom Filters and Optimizing by Sandwiching,Michael Mitzenmacher,December 2018,Neurips 2018,0
Deep Forest,"Zhi-Hua Zhou, Ji Feng","14 May, 2018",,On the consistency theory of high dimensional variable screening,"Xiangyu Wang, Chenlei Leng, David B. Dunson",December 2015,Neurips 2015,0
Disease Prediction based on Functional Connectomes using a Scalable and Spatially-Informed Support Vector Machine,"Takanori Watanabe, Daniel Kessler, Clayton Scott, Michael Angstadt, Chandra Sripada","24 March, 2014",,A Bayesian Framework for Modeling Confidence in Perceptual Decision Making,"Koosha Khalvati, Rajesh P. Rao",December 2015,Neurips 2015,0
Learning Representations for Counterfactual Inference,"Fredrik D. Johansson, Uri Shalit, David Sontag","6 June, 2018",,Using Options and Covariance Testing for Long Horizon Off-Policy Policy Evaluation,"Zhaohan Guo, Philip S. Thomas, Emma Brunskill",December 2017,Neurips 2017,0
Planning under risk and uncertainty based on Prospect-theoretic models,"Aamodh Suresh, Sonia Martinez","4 April, 2019",,Regularizing Deep Neural Networks by Noise: Its Interpretation and Optimization,"Hyeonwoo Noh, Tackgeun You, Jonghwan Mun, Bohyung Han",December 2017,Neurips 2017,0
Transforming Musical Signals through a Genre Classifying Convolutional Neural Network,"S. Geng, G. Ren, M. Ogihara","28 June, 2017","Proc. of the First Int. Workshop on Deep Learning and Music joint with IJCNN. Anchorage, US. 1(1). pp 48-49 (2017)",Exploiting spatial overlap to efficiently compute appearance distances between image windows,"Bogdan Alexe, Viviana Petrescu, Vittorio Ferrari",December 2011,Neurips 2011,0
Convex Total Least Squares,"Dmitry Malioutov, Nikolai Slavov","1 June, 2014","JMLR W&CP 32 (1) :109-117, 2014",Leveraging Sparsity for Efficient Submodular Data Summarization,"Erik Lindgren, Shanshan Wu, Alexandros G. Dimakis",December 2016,Neurips 2016,0
Provably robust estimation of modulo 1 samples of a smooth function with applications to phase unwrapping,"Mihai Cucuringu, Hemant Tyagi","9 March, 2018",,Inverse Reinforcement Learning with Locally Consistent Reward Functions,"Quoc Phong Nguyen, Bryan Kian Hsiang Low, Patrick Jaillet",December 2015,Neurips 2015,0
A Generalized Meta-loss function for regression and classification using privileged information,"Amina Asif, Muhammad Dawood, Fayyaz ul Amir Afsar Minhas","25 March, 2019",,Ranking Data with Continuous Labels through Oriented Recursive Partitions,"Stphan Clmenon, Mastane Achab",December 2017,Neurips 2017,0
On Multilingual Training of Neural Dependency Parsers,"Micha? Zapotoczny, Pawe? Rychlikowski, Jan Chorowski","29 May, 2017",,Maximal Sparsity with Deep Networks?,"Bo Xin, Yizhou Wang, Wen Gao, David Wipf, Baoyuan Wang",December 2016,Neurips 2016,0
Label Stability in Multiple Instance Learning,"Veronika Cheplygina, Lauge Srensen, David M. J. Tax, Marleen de Bruijne, Marco Loog","15 March, 2017",,When do random forests fail?,"Cheng Tang, Damien Garreau, Ulrike von Luxburg",December 2018,Neurips 2018,0
Comprehensive Evaluation of Deep Learning Architectures for Prediction of DNA/RNA Sequence Binding Specificities,"Ameni Trabelsi, Mohamed Chaabane, Asa Ben Hur","29 January, 2019",,Composite Multiclass Losses,"Elodie Vernet, Mark D. Reid, Robert C. Williamson",December 2011,Neurips 2011,0
Estimating beta-mixing coefficients via histograms,"Daniel J. McDonald, Cosma Rohilla Shalizi, Mark Schervish","8 February, 2016","Electron. J. Statist. 9 (2015), no. 2, 2855--2883",From Bandits to Experts: On the Value of Side-Observations,"Shie Mannor, Ohad Shamir",December 2011,Neurips 2011,0
Learning Shared Encoding Representation for End-to-End Speech Recognition Models,"Thai-Son Nguyen, Sebastian Stueker, Alex Waibel","31 March, 2019",,Doubly Robust Bayesian Inference for Non-Stationary Streaming Data with ,"Jeremias Knoblauch, Jack E. Jewson, Theodoros Damoulas",December 2018,Neurips 2018,0
Near Optimal Hamiltonian-Control and Learning via Chattering,"Peeyush Kumar, Wolf Kohn, Zelda B. Zabinsky","19 March, 2017",,Scalable Adaptive Stochastic Optimization Using Random Projections,"Gabriel Krummenacher, Brian McWilliams, Yannic Kilcher, Joachim M. Buhmann, Nicolai Meinshausen",December 2016,Neurips 2016,0
Efficiently Using Second Order Information in Large l1 Regularization Problems,"Xiaocheng Tang, Katya Scheinberg","27 March, 2013",,A Stein variational Newton method,"Gianluca Detommaso, Tiangang Cui, Youssef Marzouk, Alessio Spantini, Robert Scheichl",December 2018,Neurips 2018,0
Deep Learning for Vertex Reconstruction of Neutrino-Nucleus Interaction Events with Combined Energy and Time Data,"Linghao Song, Fan Chen, Steven R. Young, Catherine D. Schuman, Gabriel Perdue, Thomas E. Potok","2 February, 2019",,Statistical Cost Sharing,"Eric Balkanski, Umar Syed, Sergei Vassilvitskii",December 2017,Neurips 2017,0
Error estimates for spectral convergence of the graph Laplacian on random geometric graphs towards the Laplace--Beltrami operator,"Nicolas Garcia Trillos, Moritz Gerlach, Matthias Hein, Dejan Slepcev","30 January, 2018",,Multi-Armed Bandits with Metric Movement Costs,"Tomer Koren, Roi Livni, Yishay Mansour",December 2017,Neurips 2017,0
Learning with Non-Convex Truncated Losses by SGD,"Yi Xu, Shenghuo Zhu, Sen Yang, Chi Zhang, Rong Jin, Tianbao Yang","20 May, 2018",,Adaptive Step-Size for Policy Gradient Methods,"Matteo Pirotta, Marcello Restelli, Luca Bascetta",December 2013,Neurips 2013,0
Retrofitting Distributional Embeddings to Knowledge Graphs with Functional Relations,"Benjamin J. Lengerich, Andrew L. Maas, Christopher Potts","16 June, 2018",,Robust Clustering as Ensembles of Affinity Relations,"Hairong Liu, Longin J. Latecki, Shuicheng Yan",December 2010,Neurips 2010,0
Mixed Precision Training of Convolutional Neural Networks using Integer Operations,"Dipankar Das, Naveen Mellempudi, Dheevatsa Mudigere, Dhiraj Kalamkar, Sasikanth Avancha, Kunal Banerjee, Srinivas Sridharan, Karthik Vaidyanathan, Bharat Kaul, Evangelos Georganas, Alexander Heinecke, Pradeep Dubey, Jesus Corbal, Nikita Shustrov, Roma Dubtsov, Evarist Fomenko, Vadim Pirogov","23 February, 2018",,A Nonparametric Conjugate Prior Distribution for the Maximizing Argument of a Noisy Function,"Pedro Ortega, Jordi Grau-moya, Tim Genewein, David Balduzzi, Daniel Braun",December 2012,Neurips 2012,0
Performance Dynamics and Termination Errors in Reinforcement Learning: A Unifying Perspective,"Nikki Lijing Kuang, Clement H. C. Leung","11 February, 2019",,Augmentative Message Passing for Traveling Salesman Problem and Graph Partitioning,"Siamak Ravanbakhsh, Reihaneh Rabbany, Russell Greiner",December 2014,Neurips 2014,0
Multiple Causal Inference with Latent Confounding,"Rajesh Ranganath, Adler Perotte","1 March, 2019",,Fiedler Random Fields: A Large-Scale Spectral Approach to Statistical Network Modeling,"Antonino Freno, Mikaela Keller, Marc Tommasi",December 2012,Neurips 2012,0
Generative Multi-Adversarial Networks,"Ishan Durugkar, Ian Gemp, Sridhar Mahadevan","2 March, 2017",,Training and Analysing Deep Recurrent Neural Networks,"Michiel Hermans, Benjamin Schrauwen",December 2013,Neurips 2013,0
Clustering with Multi-Layer Graphs: A Spectral Perspective,"Xiaowen Dong, Pascal Frossard, Pierre Vandergheynst, Nikolai Nefedov","11 June, 2011","IEEE Transactions on Signal Processing, vol. 60, no. 11, pp. 5820-5831, November 2012",Deep Generative Markov State Models,"Hao Wu, Andreas Mardt, Luca Pasquali, Frank Noe",December 2018,Neurips 2018,0
Wide Neural Networks of Any Depth Evolve as Linear Models Under Gradient Descent,"Jaehoon Lee, Lechao Xiao, Samuel S. Schoenholz, Yasaman Bahri, Jascha Sohl-Dickstein, Jeffrey Pennington","18 February, 2019",,Learning Neural Network Policies with Guided Policy Search under Unknown Dynamics,"Sergey Levine, Pieter Abbeel",December 2014,Neurips 2014,0
Introduction to Graphical Modelling,"Marco Scutari, Korbinian Strimmer","28 June, 2011",,More data means less inference: A pseudo-max approach to structured learning,"David Sontag, Ofer Meshi, Amir Globerson, Tommi S. Jaakkola",December 2010,Neurips 2010,0
An Impossibility Result for High Dimensional Supervised Learning,"Mohammad Hossein Rohban, Prakash Ishwar, Birant Orten, William C. Karl, Venkatesh Saligrama","25 April, 2013",,LightRNN: Memory and Computation-Efficient Recurrent Neural Networks,"Xiang Li, Tao Qin, Jian Yang, Tie-Yan Liu",December 2016,Neurips 2016,0
Adaptive Power System Emergency Control using Deep Reinforcement Learning,"Qiuhua Huang, Weituo Hao, Jie Tan, Rui Fan, Zhenyu Huang","8 March, 2019",,Fast and Balanced: Efficient Label Tree Learning for Large Scale Object Recognition,"Jia Deng, Sanjeev Satheesh, Alexander C. Berg, Fei Li",December 2011,Neurips 2011,0
The Automatic Statistician: A Relational Perspective,"Yunseong Hwang, Anh Tong, Jaesik Choi","11 February, 2016",,Matrix Completion from Fewer Entries: Spectral Detectability and Rank Estimation,"Alaa Saade, Florent Krzakala, Lenka Zdeborov",December 2015,Neurips 2015,0
Combinatorial Multi-Armed Bandits with Filtered Feedback,"James A. Grant, David S. Leslie, Kevin Glazebrook, Roberto Szechtman","26 May, 2017",,On the accuracy of l1-filtering of signals with block-sparse structure,"Fatma K. Karzan, Arkadi S. Nemirovski, Boris T. Polyak, Anatoli Juditsky",December 2011,Neurips 2011,0
Multiplayer Multi-armed Bandits for Optimal Assignment in Heterogeneous Networks,"Harshvardhan Tibrewal, Sravan Patchala, Manjesh K. Hanawal, Sumit J. Darak","9 April, 2019",,HOGWILD!-Gibbs can be PanAccurate,"Constantinos Daskalakis, Nishanth Dikkala, Siddhartha Jayanti",December 2018,Neurips 2018,0
Outcome-Driven Clustering of Acute Coronary Syndrome Patients using Multi-Task Neural Network with Attention,"Eryu Xia, Xin Du, Jing Mei, Wen Sun, Suijun Tong, Zhiqing Kang, Jian Sheng, Jian Li, Changsheng Ma, Jianzeng Dong, Shaochun Li","27 March, 2019",,(More) Efficient Reinforcement Learning via Posterior Sampling,"Ian Osband, Daniel Russo, Benjamin Van Roy",December 2013,Neurips 2013,0
Scalable Twin Neural Networks for Classification of Unbalanced Data," Jayadeva, Himanshu Pant, Sumit Soman, Mayank Sharma","27 January, 2018","Neurocomputing (Special Issue on Learning in the Presence of Class Imbalance and Concept Drift), 2019",beta-risk: a New Surrogate Risk for Learning from Weakly Labeled Data,"Valentina Zantedeschi, Rmi Emonet, Marc Sebban",December 2016,Neurips 2016,0
Growth-Optimal Portfolio Selection under CVaR Constraints,"Guy Uziel, Ran El-Yaniv","27 May, 2017",,Temporal alignment and latent Gaussian process factor inference in population spike trains,"Lea Duncker, Maneesh Sahani",December 2018,Neurips 2018,0
Effective Sequential Classifier Training for SVM-based Multitemporal Remote Sensing Image Classification,"Yiqing Guo, Xiuping Jia, David Paull","16 January, 2018",,Active Learning from Imperfect Labelers,"Songbai Yan, Kamalika Chaudhuri, Tara Javidi",December 2016,Neurips 2016,0
Spectral M-estimation with Applications to Hidden Markov Models,"Dustin Tran, Minjae Kim, Finale Doshi-Velez","29 March, 2016",,Bayesian Optimization with a Finite Budget: An Approximate Dynamic Programming Approach,"Remi Lam, Karen Willcox, David H. Wolpert",December 2016,Neurips 2016,0
Rebuilding Factorized Information Criterion: Asymptotically Accurate Marginal Likelihood,"Kohei Hayashi, Shin-ichi Maeda, Ryohei Fujimaki","22 April, 2015",,Transelliptical Graphical Models,"Han Liu, Fang Han, Cun-hui Zhang",December 2012,Neurips 2012,0
Hierarchical Imitation and Reinforcement Learning,"Hoang M. Le, Nan Jiang, Alekh Agarwal, Miroslav Dudk, Yisong Yue, Hal Daum III","9 June, 2018",,Efficient Loss-Based Decoding on Graphs for Extreme Classification,"Itay Evron, Edward Moroshko, Koby Crammer",December 2018,Neurips 2018,0
Unsupervised Learning using Pretrained CNN and Associative Memory Bank,"Qun Liu, Supratik Mukhopadhyay","2 May, 2018",,Stochastic Spectral and Conjugate Descent Methods,"Dmitry Kovalev, Peter Richtarik, Eduard Gorbunov, Elnur Gasanov",December 2018,Neurips 2018,0
Experimental Implementation of a Quantum Autoencoder via Quantum Adders,"Yongcheng Ding, Lucas Lamata, Mikel Sanz, Xi Chen, Enrique Solano","14 February, 2019","Advanced Quantum Technologies 1800065, 2019",Active Exploration for Learning Symbolic Representations,"Garrett Andersen, George Konidaris",December 2017,Neurips 2017,0
Variational Approximations between Mean Field Theory and the Junction Tree Algorithm,Wim Wiegerinck,"16 January, 2013",,Approximate Message Passing with Consistent Parameter Estimation and Applications to Sparse Learning,"Ulugbek Kamilov, Sundeep Rangan, Michael Unser, Alyson K. Fletcher",December 2012,Neurips 2012,0
Second-Order Optimization for Non-Convex Machine Learning: An Empirical Study,"Peng Xu, Farbod Roosta-Khorasani, Michael W. Mahoney","15 February, 2018",,Completely random measures for modelling block-structured sparse networks,"Tue Herlau, Mikkel N. Schmidt, Morten Mrup",December 2016,Neurips 2016,0
Effective Bayesian Modeling of Groups of Related Count Time Series,Nicolas Chapados,"15 May, 2014",,Bayesian nonparametric models for bipartite graphs,Francois Caron,December 2012,Neurips 2012,0
"Integrated Model, Batch and Domain Parallelism in Training Neural Networks","Amir Gholami, Ariful Azad, Peter Jin, Kurt Keutzer, Aydin Buluc","16 May, 2018","30th ACM Symposium on Parallelism in Algorithms and Architectures (SPAA), 2018",Approximation and Convergence Properties of Generative Adversarial Learning,"Shuang Liu, Olivier Bousquet, Kamalika Chaudhuri",December 2017,Neurips 2017,0
Robust Ensemble Classifier Combination Based on Noise Removal with One-Class SVM,Ferhat zgr atak,"9 February, 2016",,Joint Active Feature Acquisition and Classification with Variable-Size Set Encoding,"Hajin Shim, Sung Ju Hwang, Eunho Yang",December 2018,Neurips 2018,0
Learning an Approximate Model Predictive Controller with Guarantees,"Michael Hertneck, Johannes Khler, Sebastian Trimpe, Frank Allgwer","11 June, 2018",,Bayesian Nonlinear Support Vector Machines and Discriminative Factor Modeling,"Ricardo Henao, Xin Yuan, Lawrence Carin",December 2014,Neurips 2014,0
On Discrimination Discovery and Removal in Ranked Data using Causal Graph,"Yongkai Wu, Lu Zhang, Xintao Wu","5 March, 2018",,Policy Shaping: Integrating Human Feedback with Reinforcement Learning,"Shane Griffith, Kaushik Subramanian, Jonathan Scholz, Charles L. Isbell, Andrea L. Thomaz",December 2013,Neurips 2013,0
Multiscale CNN based Deep Metric Learning for Bioacoustic Classification: Overcoming Training Data Scarcity Using Dynamic Triplet Loss,"Anshul Thakur, Daksh Thapar, Padmanabhan Rajan, Aditya Nigam","27 March, 2019",,Satisfying Real-world Goals with Dataset Constraints,"Gabriel Goh, Andrew Cotter, Maya Gupta, Michael P. Friedlander",December 2016,Neurips 2016,0
