ID,Brand,Title,Price,Description,Model_Number,Ship_Weight,Dimensions
2124,Panasonic,Panasonic Lumix DMC-TS3S Silver 12.1MP Digital Camera w 4.6x Optical Zoom 2.7  LCD HD Movie Recording,333.54,The Panasonic Lumix DMC-TS3 is a 12.1MP Digital Camera features an advanced tough design with quad protection for hazardous environments. This camera also features a GPS function with a compass altimeter and barometric sensor for outdoor use. Note Memory Card not included. Purchase of a memory card is highly recommended.,Panasonic DMC-TS3S,1.12,4.07 x 2.52 x 1.04 inches
2125,Seagate,Seagate Barracuda 500GB Internal Hard Drive,44.99,By now the world knows that Seagate Barracuda 7200 drives from the world s premier storage provider deliver years of reliable service and high performance. This is a product family that has been strengthened and refined over 12 generations. It embodies the highest levels of reliability performance and capacity. This latest generation is a leader in environmentally friendly storage.,ST3500413AS,1.2,5.8 x 4.0 x 1.0 inches
2126,Scosche,Scosche IT4SCBK TCH 3 Switchback,32.88,Glossy polycarbonate and shock resistant rubber hybrid case for iPod touch 4G. Integrated kickstand for convenient FaceTime video calling and landscape media viewing. Soft silicone skin with removable sport armband for iPod touch 4G.,IT4SCBK,0.5,8.0 x 4.5 x 1.0 inches
2127,PNY,PNY 4GB SDHC Memory Card Class 4,8.98,This Secure Digital High Capacity SDHC card writes data at the Class 4 speed of 4 MB per second. Write-protect sliding lock prevents overwriting data or accidental deletion. SDHC cards can only be used in an SDHC slot so look for the SDHC logo on your device to ensure compatibility.,P-SDHC4G4-EF,0.3,1.25 x 0.95 x 0.01 inches
2128,SVAT Electronics,SVAT Ultra-Slim Web-Ready 8 Channel DVR Security System with Built-in 19  LCD Screen and 4 Indoor Outdoor Hi-Res Night Vision Surveillance Cameras,1199.0,,CLEARVU10,40.15,18.5 x 18.0 x 7.5 inches
2129,Crown,Crown Industrial Deck Plate Antifatigue Vinyl Mat 36 X 144 Black,349.97,Anti-fatigue mat with slip-resistant surface and PVC foam backing.,,,
2130,Targus,Targus 15.4  Metro Roller Notebook Bag,47.99,,146437,7.5,18.0 x 15.0 x 10.25 inches
2131,Ematic,Ematic 4GB Video MP3 Player with 2.4  LCD built in 5MP Digital Camera  Assorted Colors,39.88,Versatile multimedia player holds up to 2300 songs 20 hours of video or thousands of pictures. Watch videos and photos on the 2.4-inch color LCD screen. The 5-megapixel digital camera lets you take pictures or videos. You can listen to your favorite FM stations and record them too. It even records voice with the built-in microphone and lets you read E-Books or TXT files.,EM504CAMB,1.2,3.25 x 2.0 x 0.5 inches
2132,Sumdex,Sumdex Mini Camera Case,15.99,,13419,1.0,5.25 x 4.0 x 3.5 inches
2133,TRENDnet,TRENDnet TU2-ETG USB to Gigabit Ethernet Adapter - USB - 1 x RJ-45  - 10 100 1000Base-T,34.66,The TRENDnet TU2-ETG USB to Gigabit Ethernet Adapter allows you to instantly connect to a 10 100 1000Mbps network from a USB enabled desktop or Notebook PC. Compliant with USB 2.0 and backwards compatible with the USB 1.0 and 1.1 you can share files and printers and also gain access to broadband Internet to explore valuable resources on the web.,TU2-ETG,0.4,7.6 x 5.1 x 0.59 inches
2134,HP,HP C7971A  LTO Ultrium 1 Tape Cartridge,39.88,HP LTO Ultrium Data Cartridge is compatible with Seagate IBM HP and other leading LTO drive manufacturers. Offers Ultrium single reel capacity format with a native compressed capacity of 100GB 200GB. Transfer rate is 20-40MB per second.,C7971A,0.6,4.28 x 4.05 x 1.13 inches
2135,EDGE,EDGE 4GB 2X2GB PC25300 NONECC UNBUFFERED 200PIN DDR2 SODIMM,69.82,All RAM modules from EDGE are backed by a Lifetime Warranty and each is individually tested to ensure highest product quality and reliability. If your memory module ever fails to work perfectly due to defects in materials or workmanship EDGE will repair or replace it at no charge.,PE20823302,0.35,9.0 x 6.0 x 3.0 inches
2136,Epson,Epson S041226 Very High Resolution Print Paper,244.88,Epson S041226 Very High Resolution Print Paper,S041226,12.44,41.4 x 4.5 x 3.6 inches
2137,Lorex,Lorex LW1002 LIVE Wireless Security Cameras,119.0,The Lorex LW1002 LIVE Wireless Security Cameras allow you to install a safety net around your home or office without the hassle of camera wires and complex hardware.,LW1002,19.8,11.4 x 8.3 x 6.3 inches
2138,Draper,Draper M1300 Cineperm Fixed Frame Screen - 250 diagonal NTSC Format,2453.45,,250020,100.0,
2139,Da-Lite,Da-Lite Pixmate 20 x 30  UL listed Adjustable Shelf Wide Base Television Cart 43 - 49 Height,253.51,,6026E,65.0,49.0 x 30.0 x 20.0 inches
2140,AGF,AGF BlackBerry Torch 9800 9810 Endo GRT Case Black Black,25.88,The AGF BlackBerry Torch 9800 9810 Endo GRT Case is made with super-slick glide tech resin so phone opens and closes with ease. Includes durable holster.,HA0435-M005,0.35,6.7 x 4.25 x 2.4 inches
2141,Generic,HTC Sensation 4G,0.0,The HTC Sensation 4G is the most powerful smartphone in the T-Mobile line-up. Ideal for the   HD display. Not to mention HTC Sense HTC Listen and HTC Watch make this device the creme de la creme in mobile entertainment,610214626400,,6.496 x 3.641 x 2.02 inches
2142,Griffin,Griffin iPod Touch 4G Dflex Protection System Front Only,19.88,Get the best usage of your iPod touch with the Griffin iPod touch 4G Dflex Protection System. The invisible skin is scratch-proof tear-proof and puncture-resistant. Includes a Smartwipe screen cleaner application card and reusable polishing cloth. This item is front protection only.,NA02046,0.1,6.9 x 4.1 x 0.7 inches
2143,Clarion,Clarion VX401 6.2  Double-Din Multimedia Control Station with USB Port and Built-In Bluetooth,499.99,The Clarion VX401 6.2  Double-Din Multimedia Control Station with USB Port and Built-In Bluetooth is ready for connection to HD Radio tuner for crystal clear digital quality radio with iTunes tagging for easy purchase of songs heard over the radio. The NP401 hide-away navigation system can be connected to the VX401 directly and controlled through its touch panel. So with this multimedia station you can upgrade to a car navigation system at any time. Count on voice guidance messages and high-resolution map displays to get you safely to your destination. You can connect your iPod or iPhone to the source unit and access the music and videos that are stored on it. Your device can be operated from the main unit s control panel with sound audible through the car s speaker system.,VX401,10.41,16.2 x 9.8 x 6.8 inches
2144,Link Depot,Link Depot 14 Ethernet Enhanced CAT6 Networking Cable Blue,3.98,The Link Depot 14 Ethernet Enhanced CAT6 Networking Cable is a fast and dependable Ethernet connection solution.,C6M-14-BUB,1.55,12.0 x 7.5 x 1.0 inches
2145,Da-Lite,Da-Lite Video Spectra 1.5 Model C Manual Screen - 8 x 10 AV Format,725.99,,82967,66.0,
2146,Da-Lite,Da-Lite High Power Advantage Manual with CSR - AV Format 8 x 10 diagonal,1303.99,,85687,101.0,
2147,Coolermaster,Cooler Master NotePal U2 Black,24.82,The Cooler Master NotePal U2 is a simple stand that elevates your laptop to a comfortable viewing angle and allows you to work with a better posture. The aluminum-meshed design ensures that heat dissipates quickly to prevent your laptop from overheating. Its slim and lightweight feature gives you the absolute convenience to take anywhere easy stow away and protection. Two optional 80mm fans will allow you to cool the necessary areas generating the most heat.,R9-NBC-8PBK-GP,2.2,15.0 x 15.0 x 3.0 inches
2148,Belkin,Belkin 3 Cat-5e Snagless Patch Cable Blue,4.35,This Belkin Cat-5e Snagless Patch Cable is perfect for use with 10 100Base-T networks. It features RJ45 male-to-male connectors and snagless molded-strain relief. Use this Belkin Cat-5e Snagless Patch Cable to ensure a clean and clear transmission.,A3L791-03-BLU-S,0.1,3.5 x 3.5 x 0.3 inches
2149,Viore,Viore 26  Ultra-Slim LED26VF50,239.0,Enjoy full-HD 60Hz performance with high contrast on the Viore 26  1080p LED-LCD HDTV. Contact your local cable or satellite TV service provider for details on how to upgrade.,LED26VF50,17.3,26.0 x 19.7 x 8.5 inches
2150,Kodak,Kodak EasyShare M552 Dark Pink 14MP Digital Camera w 5x Optical Zoom 2.7  LCD Display w 50 Bonus Prints,94.54,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value You re having too much fun to keep it all to yourself. That s why you need the Kodak EasyShare M552 Camera. Yeah it s sleek and small but it s also perfect for fitting in the whole crew without cutting anyone out. We even found room to add a dedicated HD video button for capturing those crazy nights out on the town. Then press Kodak s Share button to e-mail to friends and Kodak Pulse Digital Frame or upload to Kodak Gallery Facebook Twitter YouTube Flickr Orkut Yandex and KAIXIN001 sites. Note Memory card not included. Purchase of a memory card is highly recommended.,M552Pink,0.85,3.65 x 2.2 x 0.75 inches
2151,DP Video,DP Audio 1000-Watt Amplifier Installation Kit,17.0,,DP88,1.45,8.5 x 7.0 x 2.5 inches
2152,Polaroid,Polaroid UltraClear Screen Protector Bold 9000,14.99,The Polaroid UltraClear Screen Protector is extremely durable and incredibly thin keeping your device protected without you even knowing it. Each film s four-layer composition is designed to provide maximum enhancement in its own unique way and our innovative Static Adhesion has been designed to allow for an easy bubble-free application.,PSCUCBB9000,0.05,7.5 x 4.3 x 0.3 inches
2153,D-Link,D-Link AirPremier N Dual Band PoE Access Point,318.0,D-Link an industry pioneer in wireless networking introduces a solution for businesses seeking to deploy next generation draft 802.11n LANs. The D-Link AirPremier N Dual Band PoE Access Point is designed specifically for business-class environments such as large or enterprise corporations to provide secure and manageable dual band wireless LAN options for network administrators.,DAP-2590,3.3,11.0 x 8.25 x 4.5 inches
2154,MacCase,MacCase MacCase 12  iBook PowerBook BriefCase,55.96,,82272,1.4,13.0 x 10.0 x 2.5 inches
2155,Memorex,XtremeMac InCharge Mobile Case for iPhone 4,79.99,InCharge Mobile is a 2300mAh rechargeable battery pack and case that offers full protection while doubling your iPhone 4 talk time. It includes a built-in viewing stand for watching videos and using FaceTime.,IPPIM411,0.5,7.2 x 5.1 x 1.2 inches
2156,Ape Case,Ape Case AC252 Tri-Fold Digital Camera Case   Passport Travel Wallet,18.88,The AC252 Ape Case Tri-Fold Traveler is a protector and organizer with 14 compartments for your camera cash money maps digital media cards passports and other necessities. A perfect gift for family vacations or just a day out.,AC252,0.81,10.0 x 6.5 x 3.4 inches
2157,Cables Unlimited,Cables Unlimited - 1 Port DB25 Parallel PCI ECP EPP SPP Port I O Card,16.88,Take full advantage of all your high-speed Parallel devices by adding this economical PCI card.  Perfect for use with external Zip drives printers scanners tape drives or any other device that requires a high-speed Parallel connection.,IOC-1000,0.2,17.32 x 14.57 x 13.89 inches
2158,Seagate,Seagate Expansion Desktop Hard Drive 1.0TB 7200RPM - Black,99.84,Provides extra storage for your ever-growing collection of files. Instantly add space for more files consolidate all of your files to a single location or free-up space on your computer internal drive for improved performance. Setup is straight forward simply plug in the included power supply and USB cable and you are ready to go. It is automatically recognized by Windows so there is no software to install and nothing to configure. Saving files is easy too just drag-and-drop. Its not just easy to use but its fast and energy efficient too. Enjoy fast data transfer speed with USB 2.0 connectivity and 7200 RPM drive performance. Built-in power management ensures energy-efficient operation.,ST310005EXA101,3.0,8.4 x 5.9 x 4.1 inches
2159,HP,HP Black Notebook Sleeve,15.0,Protect your laptop from dirt and debris. You can fit this slim case in a bag or simply carry it by hand.,HP NU561AA,0.72,14.9 x 10.15 x 1.7 inches
2160,Peerless,Peerless Plasma Screen Pedestal with Rotation and Tilt Pedestal Only,298.99,,COL510P,19.05,
2161,Nikon,Nikon D3000 Black 10.2MP DSLR Camera Kit with AF-S DX Nikkor 18-55mm f 3.5-5.6G VR Lens w 50 Bonus Prints,443.99,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value The Nikon D3000 DSLR features split-second shutter response a 3  color LCD continuous shooting up to three frames per second and in-camera editing. The lens offers fast 11-point autofocus to deliver vivid color striking contrast and crisp detail while VR image stabilization assures you of sharp pictures. Plus the Nikon D3000 DSLR has a highly efficient energy-saving design  allows approximately 550 images on a single battery charge. The Nikon 10MP DSLR camera and Nikkor VR Lens Combination make a great package for the hobbiest the novice or the advanced photographer.,D3000 Kit,3.85,5.0 x 4.2 x 4.1 inches
2162,Sumdex,Sumdex DigiPod Neoprene Computer Sleeve - 17,19.99,,138548,1.5,16.75 x 12.5 x 1.13 inches
2163,OKI,Oki 41945601 Fuser Kit,247.0,Fuser Kit for the OKI C7300 7500 Series Color Printers. Yields up to 60 000 pages.,4.1945601E7,3.6,
2164,StarTech,StarTech.com DP2DVI DisplayPort to DVI Video Converter Cable,18.88,This DisplayPort to DVI adapter lets you connect a DVI-D display to a DisplayPort video source e.g.DisplayPort video cards etc. eliminating the expense of having to upgrade to a DisplayPort capable display. This adapter supports display resolutions of up to 1920x1200 allowing you to take full advantage of single link DVI capability.,DP2DVI,0.15,9.0 x 5.175 x 0.9 inches
2165,Belkin,Belkin F1DD104L SOHO 4-Port DVI   USB KVM Switch,188.84,The F1DD104L SOHO 4-Port DVI   USB KVM Switch from Belkin allows you to control up to four computers from one keyboard video monitor and mouse console. Switch helps to increase your efficiency and productivity at home or in the office by reducing desktop clutter while keeping access to all of your programs and files spread across multiple computers.,F1DD104L,7.45,14.15 x 7.35 x 5.4 inches
2166,Targus,Targus RG0315C Pulse Backpack Notebook Case,38.88,The affordable stylish and lightweight Pulse Backpack notebook case from Targus offers you a complete and practical laptop storage solution and soft rack for storage convenience. This backpack protects your laptop with a padded notebook computer storage section that fits standard 15.4  inch screens. There is also a front zippered pocket giving you plenty of storage space for adapters drives cords and more.,,,
