id,title,time,director,year,star,cost
4163,A Call Girl (English Subtitled)   ,"1 hour, 32 minutes",Damjan Kozole,2009,"Nina Ivanisin, Peter Musevski","Buy SD $7.99,"
4164,Law Abiding Citizen    ,"1 hour, 49 minutes",F. Gary Gray,2009,"Jamie Foxx, Gerard Butler","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
4165,The Adjustment Bureau    ,"1 hour, 46 minutes",George Nolfi,2011,"Matt Damon, Emily Blunt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4166,Gran Torino , 116 minutes ,Clint Eastwood,2010,Clint Eastwood,$4.99 
4167,Dear Lemon Lima    ,"1 hour, 28 minutes",Suzi Yoonessi,2011,"Meaghan Martin, Shayne Topp","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4168,The Exorcism Of Emily Rose    ,"2 hours, 0 minutes",Scott Derrickson,2005,"Laura Linney, Tom Wilkinson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
4169,Belle    ,"1 hour, 44 minutes",Amma Asante,2014,"Matthew Goode, Lauren Julien-Box","Buy HD $12.99,Buy SD $14.99,"
4170,Stand and Deliver    ,"1 hour, 44 minutes",Ramón Menéndez,1988,"Edward James Olmos, Estelle Harris","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4171,Goodfellas (1990) Remastered    ,"2 hours, 26 minutes",Martin Scorsese,1990,"Robert De Niro, Ray Liotta","Buy HD $12.99,Buy SD $9.99,"
4172,Welcome to Me    ,"1 hour, 28 minutes",Shira Piven,2015,"Kristen Wiig, Wes Bentley","Rent HD $0.99,Rent SD $3.99,Buy HD $12.99,Buy SD $12.99,"
4173,Dances With Wolves (25th Anniversary Edition) , 185 minutes ,Kevin Costner,2011,Kevin Costner,$5.09 
4174,The Guardian , 139 minutes ,Andrew Davis,2007,Kevin Costner,$4.99 
4175,A Siren in the Dark    ,"1 hour, 20 minutes",Laura Reilly,2009,"David Beutler, Orion Cross","Buy SD $14.99,"
4176,Pearl Harbor    ,"3 hours, 4 minutes",Michael Bay,2001,"Ben Affleck, Josh Hartnett","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4177,Argo , 120 minutes ,Ben Affleck,2013,Ben Affleck,$6.99 
4178,Salvador    ,"2 hours, 3 minutes",Oliver Stone,1986,"James Woods, James Belushi","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4179,Jamie Marks Is Dead    ,"1 hour, 42 minutes",Carter Smith,2014,"Morgan Saylor, Noah Silver","Rent HD $0.99,Rent SD $0.99,Buy HD $8.99,Buy SD $6.99,"
4180,Tyler Perry's Madea Goes To Jail    ,"1 hour, 43 minutes",Tyler Perry,2009,"Tyler Perry, Derek Luke","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
4181,Flexing with Monty    ,"1 hour, 30 minutes",John Albo,2010,"Rudi Davis, Trevor Goddard","Rent SD $2.99,Buy SD $5.99,"
4182,Amadeus , 160 minutes ,Milos Forman,2009,F. Murray Abraham,$13.94 
4183,Rush [Blu-ray] , 246 minutes ,Ron Howard,2014,Daniel Brühl,$15.88 
4184,Patch Adams - Collector's Edition , 116 minutes ,Tom Shadyac,2002,Robin Williams,$5.00 
4185,Bicentennial Man , 131 minutes ,Chris Columbus,2000,Robin Williams,$4.99 
4186,Breakfast At Tiffany's , 115 minutes ,Various,2001,Various,$7.50 
4187,Training Day   ,"2 hours, 3 minutes",Antoine Fuqua,2001,"Denzel Washington, Ethan Hawke","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4188,Last Vegas , 105 minutes ,Jon Turteltaub,2014,Michael Douglas,$9.77 
4189,TuTu Much    ,"1 hour, 24 minutes",Elise Swerhone,2010,"Won-Jung,Alia","Rent SD $3.99,Buy HD $10.99,Buy SD $14.99,"
4190,Marley & Me    ,"1 hour, 56 minutes",David Frankel,2008,"Owen Wilson, Jennifer Aniston","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4191,Jeremiah Johnson    ,"1 hour, 56 minutes",Sydney Pollack,1972,"Robert Redford, Will Geer","Rent SD $2.99,Buy SD $9.99,"
4192,Ghosts at Sea    ,"1 hour, 13 minutes",William Burke,2014,"Bill Kraft,Daniel  Falicki","Rent SD $2.99,Buy SD $7.99,"
4193,GOOD PEOPLE BAD THINGS    ,"1 hour, 30 minutes",Patrick Phillips,2008,"Dean Redman, Nadine Wright","Buy SD $9.99,"
4194,"Good Morning, Vietnam (Special Edition) ", 121 minutes ,Barry Levinson,2006,Robin Williams,$7.19 
4195,Dangerous Obsession    ,"1 hour, 25 minutes",Yuri Sivo,1989,"Brian Benben,Debrah Farentino","Buy SD $9.99,"
4196,Swordbrothers: The Showdown (English Subtitled)   ,"1 hour, 52 minutes",Hoon-jung Park,2011,"Hee-soon Park,Ku Jin","Buy SD $7.99,"
4197,Billy Elliot , 111 minutes ,Stephen Daldry,2001,Julie Walters,$9.61 
4198,The Cowboys (Deluxe Edition) , 134 minutes ,Mark Rydell,2008,John Wayne,$5.97 
4199,Greek Pete    ,"1 hour, 9 minutes",Andrew Haigh,2009,"Peter Pittaros,Lewis Wallis","Buy SD $9.99,"
4200,Percy Jackson: Sea of Monsters,10 minutes,Thor Freudenthal,2013,"Logan Lerman, Alexandra Daddario","Buy SD Free,"
4201,A Few Good Men (Special Edition) , 138 minutes ,Rob Reiner,2001,Tom Cruise,$9.50 
4202,Step Up    ,"1 hour, 44 minutes",Anne Fletcher,2006,"Channing Tatum, Jenna Dewan Tatum","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4203,The Book of Eli , 118 minutes ,Albert Hughes,2010,Denzel Washington,$4.99 
4204,Sling Blade - Director's Cut (Miramax Collector's Series) , 135 minutes ,Billy Bob Thornton,2011,Billy Bob Thornton,$6.45 
4205,Batman Begins    ,"2 hours, 21 minutes",Christopher Nolan,2005,"Christian Bale, Michael Caine","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4206,Our Founding Fathers    ,25 minutes,American Institute for Education,1999,Sam O'Neil,"Buy SD $9.99,"
4207,Finder's Fee    ,"1 hour, 40 minutes",Jeff Probst,2001,"Erik Palladino, Ryan Reynolds","Rent SD $2.99,Buy SD $4.99,"
4208,Taste the Blood of Dracula [Blu-ray] ,,Peter Sasdy,2015,Christopher Lee,$13.89 
4209,The Curious Case of Benjamin Button    ,"2 hours, 46 minutes",David Fincher,2008,"Cate Blanchett, Brad Pitt","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4210,Hackers (20th Anniversary Edition) [Blu-ray] , 107 minutes ,Iain Softley,2015,Angelina Jolie,$17.50 
4211,Get On Up , 139 minutes ,Tate Taylor,2014,Chadwick Boseman,$6.99 
4212,Vertigo    ,"2 hours, 11 minutes",Alfred Hitchcock,1958,"James Stewart, Kim Novak","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4213,Under the Tuscan Sun (Widescreen Edition) , 113 minutes ,Audrey Wells,2004,Diane Lane,$7.19 
4214,Letters to Juliet , 105 minutes ,Gary Winick,2010,Amanda Seyfried,$4.95 
4215,Something's Gotta Give , 128 minutes ,Nancy Meyers,2004,Diane Keaton,$8.18 
4216,Amazing Grace , 118 minutes ,Michael Apted,2007,Ioan Gruffudd,$4.81 
4217,"The Way, Way Back    ","1 hour, 44 minutes",Nat Faxon,2013,"Steve Carell, Toni Collette","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4218,Freedom Writers , 124 minutes ,Richard LaGravenese,2007,Hilary Swank,$7.17 
4219,Gladiator , 155 minutes ,Various,2003,Various,$7.50 
4220,Willow (Blu-ray / DVD Combo) , 126 minutes ,Ron Howard,2013,Val Kilmer,
4221,The Sting , 130 minutes ,George Roy Hill,2012,Robert Redford,$9.99 
4222,Iron Man 2, 124 minutes ,Jon Favreau,2010,Robert Downey Jr.,$14.45 
4223,Vampire Boys    ,"1 hour, 10 minutes",Charlie Vaughn,2011,"Jason Lockhart, Christian Ferrer","Buy SD $9.99,"
4224,A Time to Kill , 150 minutes ,Joel Schumacher,2009,Samuel L. Jackson,$4.99 
4225,Funny Farm (1988) , 103 minutes ,George Roy Hill,2005,Chevy Chase,$4.99 
4226,Eddie and the Cruisers / Eddie and the Cruisers II: Eddie Lives! (Double Feature)  [Blu-ray] , 199 minutes ,Martin Davidson,2015,Tom Berenger,$15.89 
4227,Heat Street    ,"1 hour, 25 minutes",Joseph Merhi,1988,"Del Zamora,Quincy Adams Jr.","Buy SD $9.99,"
4228,Shottas , 99 minutes ,Cess Silvera,2007,Ky-Mani Marley,$4.99 
4229,The Greed of Men    ,"1 hour, 14 minutes",Jeremy Fultz,2015,"Matt Cinquanta, Jeremy Fultz","Rent HD $2.99,Rent SD $1.99,Buy HD $7.99,Buy SD $6.99,"
4230,Funny Girl    ,"2 hours, 29 minutes",William Wyler,1968,"Barbra Streisand, Omar Sharif","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4231,Once Upon a Time in America (Extended Director's Cut) , 269 minutes ,Sergio Leone,2014,Robert De Niro,$9.99 
4232,Artificial Paradise (English Subtitled)   ,"1 hour, 37 minutes",Karpo Acimovic-Godina,2015,"Jürgen Morche, Vlado Novák","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4233,Stepmom    ,"2 hours, 6 minutes",Chris Columbus,1998,"Julia Roberts, Susan Sarandon","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4234,Chicago Massacre: Richard Speck    ,"1 hour, 33 minutes",Michael Feifer,2007,"Corin Nemec, Amy Lyndon","Rent SD $2.99,Buy HD $6.99,Buy SD $4.99,"
4235,Saturday Night Fever (1977) , 118 minutes ,Various,2007,Various,$4.99 
4236,The Guardian    ,"2 hours, 20 minutes",Andrew Davis,2006,"Kevin Costner, Ashton Kutcher","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4237,Rush    ,"2 hours, 4 minutes",Ron Howard,2013,"Chris Hemsworth, Daniel Brühl","Buy HD $12.99,Buy SD $9.99,"
4238,Sicario   ,3 minutes,Denis Villeneuve,2015,"Emily Blunt,Benicio Del Toro","Pre-order HD $19.99,Pre-order SD $19.99,"
4239,The Queen    ,"1 hour, 44 minutes",Stephen Frears,2007,"Helen Mirren, James Cromwell","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $13.99,"
4240,The Fast and the Furious: Tokyo Drift    ,"1 hour, 45 minutes",Justin Lin,2006,"Lucas Black, Damien Marzette","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4241,The Milky Way    ,"1 hour, 33 minutes",Jon Fitzgerald,2015,"Michael Abou-Dakn, Jennifer Davidson","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4242,We Were One Man (English Subtitled)   ,"1 hour, 32 minutes",Philippe Vallois,1981,"Piotr Stanislas,Serge Avedikian","Buy SD $9.99,"
4243,"Drunk, The    ","1 hour, 30 minutes",Paul Fleschner,2014,"William Tanoos, Paul Fleschner","Rent HD $3.99,Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4244,Quartet , 98 minutes ,Dustin Hoffman,2013,Maggie Smith,$8.12 
4245,Zulu , 138 minutes ,Cy Endfield,2003,Stanley Baker,$21.12 
4246,Getting to the Nutcracker    ,"1 hour, 40 minutes",Serene Meshel-Dillman,2014,Marat Daukayev Ballet Theatre,"Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
4247,The Da Vinci Code (Two-Disc Extended Edition + BD Live) [Blu-ray] , 174 minutes ,Ron Howard,2009,Tom Hanks,$8.04 
4248,Warm Springs    ,"2 hours, 1 minute",Joseph Sargent,2005,"Kenneth Branagh, Cynthia Nixon","Buy HD $9.99,Buy SD $7.99,"
4249,Garden of Words [Blu-ray] , 45 minutes ,Makoto Shinkai,2013,Maggie Flecknoe,$16.99 
4250,Johnny Suede    ,"1 hour, 37 minutes",Tom DiCillo,1992,"Brad Pitt, Richard Boes","Buy SD $9.99,"
4251,August: Osage County    ,"2 hours, 0 minutes",John Wells,2013,"Meryl Streep, Julia Roberts","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $7.99,"
4252,Rain Man    ,"2 hours, 14 minutes",Barry Levinson,1988,"Dustin Hoffman, Tom Cruise","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4253,My House In Umbria , 109 minutes ,Various,2005,Various,$6.93 
4254,That Thing You Do!: Tom Hank's Extended Cut (Two-Disc Special Edition) , 108 minutes ,Tom Hanks,2007,Tom Hanks,$14.22 
4255,Donnie Brasco (Extended Cut) [Blu-ray] , 147 minutes ,Mike Newell,2007,Anne Heche,$6.49 
4256,The Motorcycle Diaries (English Subtitled)    ,"2 hours, 7 minutes",Walter Salles,2004,"Gael García Bernal, Rodrigo De la Serna","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4257,The Right Stuff (30th Anniversary Edition) [Blu-ray] , 193 minutes ,Philip Kaufman,2013,Scott Glenn,$19.59 
4258,Falcon Song    ,"1 hour, 49 minutes",Jason Corgan Brown,2014,"Rainey Qualley, Gabriel Sunday","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4259,Ordinary People    ,"2 hours, 5 minutes",Robert Redford,1980,"Donald Sutherland, Mary Tyler Moore","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4260,An Unfinished Life , 108 minutes ,Lasse Hallström,2011,Jennifer Lopez,$5.99 
4261,Moulin Rouge    ,"2 hours, 8 minutes",Baz Luhrmann,2001,"Nicole Kidman, Ewan McGregor","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
4262,Shutter Island (2010) , 138 minutes ,Various,2010,Various,$3.74 
4263,Battleship [Blu-ray] , 264 minutes ,Peter Berg,2012,Alexander Skarsgård,$11.53 
4264,The Bucket List , 97 minutes ,Rob Reiner,2008,Jack Nicholson,$3.99 
4265,Snake Pit (English Subtitled)   ,"1 hour, 3 minutes",Enrique Estevanez,2005,"Carla Gonzalez,Candela Showoman","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4266,Patton (Cinema Classics Collection) , 172 minutes ,Franklin J. Schaffner,2006,George C. Scott,$7.99 
4267,American Horror Story: Asylum: Cast and Creators Live at PALEYFEST    ,"1 hour, 0 minutes",The Paley Center for Media,2013,"Jessica Lange,Lily Rabe","Rent SD $4.99,Buy HD $10.99,Buy SD $10.99,"
4268,Sherlock Holmes: A Game of Shadows , 129 minutes ,Guy Ritchie,2012,Robert Downey Jr.,$8.48 
4269,Resurrection , 104 minutes ,Daniel Petrie,2009,Ellen Burstyn,$19.98 
4270,Mike Tyson: Undisputed Truth    ,"1 hour, 27 minutes",Spike Lee,2013,Mike Tyson,"Buy HD $14.99,Buy SD $12.99,"
4271,A Christmas Kiss    ,"1 hour, 30 minutes",John Stimpson,2012,"Elisabeth Röhm, Laura Breckenridge","Rent SD $2.99,Buy SD $7.99,"
4272,"Good Morning, Vietnam    ","2 hours, 1 minute",Barry Levinson,1988,"Robin Williams, Forest Whitaker","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4273,Beneath Contempt    ,"1 hour, 36 minutes",Benjamin Brewer,2011,"Abby Austin, Eliza Austin","Rent SD $2.99,Buy HD $10.99,Buy SD $9.99,"
4274,The Odyssey , 184 minutes ,Andrey Konchalovskiy,2015,Armand Assante,$8.99 
4275,I Walk Alone    ,"1 hour, 38 minutes",Byron Haskin,1947,"Burt Lancaster, Lizabeth Scott","Rent SD $2.99,Buy SD $9.99,"
4276,Demetrius And The Gladiators    ,"1 hour, 42 minutes",Delmer Daves,1954,"Victor Mature, Susan Hayward","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4277,We Are Marshall    ,"2 hours, 12 minutes",McG,2006,"Matthew McConaughey, Matthew Fox","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4278,Heart and Souls , 104 minutes ,Ron Underwood,1998,Robert Downey Jr.,$8.52 
4279,Rushmore    ,"1 hour, 33 minutes",Wes Anderson,1999,"Jason Schwartzman, Bill Murray","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4280,Insatiability (English Subtitled)   ,"2 hours, 5 minutes",Wiktor Grodecki,2003,"Cezary Pazura, Michal Lewandowski","Buy SD $9.99,"
4281,Back Street (1961) , 107 minutes ,David Miller,2012,Susan Hayward,$19.98 
4282,The Cowboy Way , 107 minutes ,Gregg Champion,1998,Woody Harrelson,$9.61 
4283,12 Monkeys    ,"2 hours, 11 minutes",Terry Gilliam,1996,"Joseph Melito, Bruce Willis","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4284,4 Film Fav:Elvis Presley Blues: G.I. Blues/ King Creole/ Jailhouse Rock/ Viva Las Vegas (DVD) , 406 minutes ,Various,2014,Various,$10.66 
4285,Midnight Lace , 108 minutes ,David Miller,2015,Doris Day,$17.19 
4286,Top Gun    ,"1 hour, 50 minutes",Tony Scott,1986,"Tom Cruise, Kelly McGillis","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
4287,Sheer Madness (English Subtitled)   ,"1 hour, 47 minutes",Margarethe von Trotta,1985,"Hanna Schygulla, Angela Winkler","Buy SD $9.99,"
4288,Ocean's Twelve    ,"2 hours, 6 minutes",Steven Soderbergh,2004,"Brad Pitt, Catherine Zeta-Jones","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4289,Trade of Innocents    ,"1 hour, 30 minutes",Christopher M. Bessette,2012,"Dermot Mulroney, Mira Sorvino","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4290,True Romance (Unrated)    ,"2 hours, 1 minute",Tony Scott,1993,"Christian Slater, Patricia Arquette","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4291,The Ocean of Helena Lee    ,"1 hour, 28 minutes",Jim Akin,2015,"Moriah Blonna,Tom Dunne","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $13.99,"
4292,A Streetcar Named Desire    ,"2 hours, 5 minutes",Elia Kazan,1951,"Vivien Leigh, Marlon Brando","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
4293,David Copperfield    ,"2 hours, 0 minutes",Delbert Mann,2006,"Richard Attenborough, Cyril Cusack","Buy SD $6.98,"
4294,Green Street Hooligans , 108 minutes ,Lexi Alexander,2006,Elijah Wood,$4.95 
4295,The Fighter    ,"1 hour, 56 minutes",David O. Russell,2010,"Mark Wahlberg, Christian Bale","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4296,Fried Green Tomatoes / Coal Miner's Daughter Double Feature , 262 minutes ,Michael Apted,2013,Kathy Bates,$5.00 
4297,Once Upon A Time In The West [Blu-ray] , 165 minutes ,Various,2011,Various,$9.19 
4298,Being There (Deluxe Edition) , 130 minutes ,Hal Ashby,2009,Peter Sellers,$9.14 
4299,Ed Wood [Blu-ray] , 127 minutes ,Tim Burton,2012,Johnny Depp,$9.16 
4300,Green Zone    ,"1 hour, 56 minutes",Paul Greengrass,2010,"Igal Naor, Said Faraj","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4301,Erin Brockovich    ,"2 hours, 12 minutes",Steven Soderbergh,2000,"Julia Roberts, David Brisbin","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4302,Dark City (Director's Cut) [Blu-ray] , 111 minutes ,Alex Proyas,2008,Rufus Sewell,$9.16 
4303,Cold Blooded (English Subtitled)   ,"1 hour, 20 minutes",Jason Lapeyre,2008,"Ryan Robbins, Zoie Palmer","Buy SD $9.99,"
4304,Jesus Christ Superstar (Special Edition) , 107 minutes ,Norman Jewison,2004,Ted Neeley,$8.59 
4305,Ocean's Thirteen    ,"2 hours, 3 minutes",Steven Soderbergh,2007,"George Clooney, Brad Pitt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4306,Loverboy    ,"1 hour, 27 minutes",Kevin Bacon,2005,"Kyra Sedgwick, Dominic Scott Kay","Rent SD $1.99,Buy HD $14.99,Buy SD $3.99,"
4307,Eyes to See    ,33 minutes,David de Vos,2012,"Matthew Marsden, Garcelle Beauvais","Rent HD $4.99,Rent SD $3.99,Buy HD $5.99,Buy SD $3.99,"
4308,Deceptions Of Love    ,"2 hours, 1 minute",Vernon Snoop Robinson,2013,"Brandon Craig, Amy Cannon Bryant","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $5.99,"
4309,Gayby    ,"1 hour, 29 minutes",Jonathan Lisecki,2012,"Jenn Harris, Anna Margaret Hollyman","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $4.99,"
4310,Dan in Real Life    ,"1 hour, 39 minutes",Peter Hedges,2007,"Steve Carell, Juliette Binoche","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
4311,The Inheritance , 95 minutes ,Bobby Roth,2004,Cari Shayne,$3.99 
4312,50/50    ,"1 hour, 41 minutes",Jonathan Levine,2011,"Joseph Gordon-Levitt, Seth Rogen","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
4313,The Twilight Saga: Eclipse - Extended Edition (Plus Bonus Feature)    ,"3 hours, 37 minutes",David Slade,2010,"Xavier Samuel, Kristen Stewart","Buy HD $12.99,Buy SD $9.99,"
4314,Poison    ,"1 hour, 26 minutes",Todd Haynes,1991,"Edith Meeks, Millie White","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4315,Straight Outta Compton   ,"2 hours, 27 minutes",F. Gary Gray,2015,"O'Shea Jackson, Jr.","Pre-order SD $14.99,"
4316,TCM Greatest Classic Films Collection: Hitchcock Thrillers (Suspicion / Strangers on a Train / The Wrong Man / I Confess) , 400 minutes ,Alfred Hitchcock,2009,Cary Grant,$9.90 
4317,Calendar Girls , 108 minutes ,Nigel Cole,2004,Helen Mirren,$4.99 
4318,Dear John , 108 minutes ,Lasse Hallstrom,2010,Channing Tatum,$6.98 
4319,Contact (Keepcase) , 151 minutes ,Robert Zemeckis,2009,Jodie Foster,$4.93 
4320,Christmas for a Dollar , 101 minutes ,John Lyde,2013,Brian Krause,$18.93 
4321,Joe Versus The Volcano , 102 minutes ,John Patrick Shanley,2007,Tom Hanks,$4.96 
4322,Border Lost    ,"1 hour, 45 minutes",David Murphy,2008,"Alejandro Antonio, Aldo Ceceña","Buy SD $5.99,"
4323,The Lives Of Others    ,"2 hours, 18 minutes",Florian Henckel von Donnersmarck,2007,"Martina Gedeck, Ulrich Mühe","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4324,Friends Forever (English Subtitled)   ,"1 hour, 32 minutes",Stefan Henszelman,2007,"Rita Angela, Carsten Morch","Rent SD $3.99,Buy SD $9.99,"
4325,Cruel Intentions    ,"1 hour, 38 minutes",Roger Kumble,1999,"Sarah Michelle Gellar, Ryan Phillippe","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4326,Doc Hollywood , 104 minutes ,Michael Caton-Jones,2004,Michael J. Fox,$5.00 
4327,Rock of Ages , 123 minutes ,Adam Shankman,2012,Julianne Hough,$5.00 
4328,Rock Hudson's Home Movies    ,"1 hour, 4 minutes",Mark Rappaport,1992,"Eric Farr, Cyd Charisse","Buy SD $9.99,"
4329,The Deadly Companions (Trigger Happy),"1 hour, 41 minutes",Sam Peckinpah,1961,"Maureen O'Hara, Brian Keith","Buy SD $9.99,"
4330,Tyler Perry's Diary of a Mad Black Woman    ,"1 hour, 57 minutes",Darren Grant,2005,"Kimberly Elise, Steve Harris","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4331,Taxi Driver    ,"1 hour, 54 minutes",Martin Scorsese,1976,"Diahnne Abbott, Frank Adu","Buy HD $12.99,Buy SD $9.99,"
4332,Dumpster Baby    ,"1 hour, 21 minutes",James Bickert,2000,"Steven Grainger,Angela Benjamin","Buy SD $9.99,"
4333,The Rewrite    ,"1 hour, 47 minutes",Marc Lawrence,2015,"Marisa Tomei, Aja Naomi King","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
4334,Gattaca    ,"1 hour, 47 minutes",Andrew Niccol,1997,"Ethan Hawke, Uma Thurman","Buy HD $12.99,Buy SD $9.99,"
4335,Pompeii: The Fury    ,"1 hour, 32 minutes",Giulio Base,2007,"Lorenzo Crespi,Andrea Osvárt","Buy SD $9.99,"
4336,Judgment at Nuremberg , 186 minutes ,Stanley Kramer,2015,Spencer Tracy,$10.99 
4337,Murder So Sweet    ,"1 hour, 35 minutes",Larry Peerce,1993,"Harry Hamlin, Helen Shaver","Buy SD $5.96,"
4338,Battle of the Bulge , 170 minutes ,Ken Annakin,2007,Henry Fonda,$4.49 
4339,Beach Pillows    ,"1 hour, 35 minutes",Sean Hartofilis,2014,"Geoffrey Arend, Vincent Kartheiser","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
4340,Tyler Perry's Madea's Neighbors From Hell (Play) , 120 minutes ,Tyler Perry,2014,Tyler Perry,$11.99 
4341,Dishonored Lady - Digitally Remastered    ,"1 hour, 25 minutes",Robert Stevenson,2013,"Hedy Lamarr, Dennis O'Keefe","Buy SD $7.96,"
4342,Marriage Italian Style (English Subtitled)    ,"1 hour, 42 minutes",Vittorio De Sica,1964,"Sophia Loren, Marcello Mastroianni","Buy SD $9.99,"
4343,Day and Night (English Subtitled)   ,"1 hour, 41 minutes",Sabine Derflinger,2015,"Anna Rot, Magdalena Kronschläger","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $9.99,"
4344,The Fugitive (1993)    ,"2 hours, 11 minutes",Andrew Davis,1993,"Harrison Ford, Tommy Lee Jones","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
4345,The Sorcerer's Apprentice , 109 minutes ,Jon Turteltaub,2010,Nicolas Cage,$6.99 
4346,The Patriot (Extended Cut) [Blu-ray] , 174 minutes ,Roland Emmerich,2007,Chris Cooper,$9.99 
